ASV	BCMy_011	BCMy_021	BCMy_031	BCMy_041	BCMy_051	BCMy_061	BCMy_071	BCMy_081	BCMy_091	BCMy_101	BCMy_111	BCMy_121	BCMy_131	BCMy_141	BCMy_151	BCMy_161	BCMy_171	BCMy_181	BCMy_191	BCMy_201	BCMy_211	BCMy_221	BCMy_231	BCMy_241	BCMy_251	BCMy_261	BCMy_271	BCMy_281	BCMy_291	BCMy_301
zotu_1;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Melissococcus;s__Melissococcus_plutonius	1645	268025	196406	196549	984	217031	103687	3097	1575	204696	95298	55750	36140	252644	181525	17332	20670	125474	147923	283156	272027	65500	155648	50267	181271	95079	2326	121161	162	203949
zotu_2;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Bombella;s__Bombella_favorum	2701	17621	2828	22499	391	1155	10914	1212	56071	11422	104	43689	1357	1198	1141	2297	38	4141	100917	326	788	75324	22535	1710	1229	220	188868	21071	40	141
zotu_3;d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia_pickettii	7004	24	48	34	9825	55	6277	9594	1582	32	546	6119	29	38	43	9656	21369	3833	453	45	31	3750	340	10943	398	2	3179	696	557	6
zotu_4;d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia_pickettii	2971	10	23	17	4420	26	2911	4419	737	4	218	2873	9	8	28	4218	9361	1726	170	26	13	1679	166	4918	184	2	1453	328	239	4
zotu_5;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium_terrae	2589	10	16	8	2627	15	2724	4436	11	7	236	3336	11	10	12	5014	5334	682	211	12	6	1749	71	5128	312	2	1235	6	1014	2
zotu_7;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium_diversitatis	3107	3	9	4	2867	3	383	455	238	3	6	4	3	6	6	2825	1059	385	17	7	1	291	1	1541	89	0	94	1	9	0
zotu_8;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_panisapium	0	0	0	0	0	0	0	0	0	14	0	0	10	8	6	8	1	4	4	8	9	12534	4	3	0	0	99	0	0	0
zotu_10;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter_radicis	1559	5	8	8	1	3	540	514	2285	10	184	1987	5	3	3	741	1257	304	30	8	3	397	59	695	1	0	275	0	3	2
zotu_14;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bartonellaceae;g__Bartonella;s__Bartonella_apis	2658	45	54	47	275	35	1272	1811	858	9	6	5	2	7	5	5	2	6	16	7	0	6	78	625	11	3	79	4	0	1
zotu_15;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylorubrum;s__Methylorubrum_pseudosasae	1236	1	1	0	0	3	1	1	0	3	0	0	2	6	4	1028	0	2	20	3	18	4469	3	1	1	0	0	1	0	0
