KO	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
K00001	0	180	67	458	1	0	0	2	1631	194	3	110
K00002	0	0	0	0	0	0	0	1	0	0	0	0
K00003	0	14	0	44	1	4	0	4	10	11	0	4
K00004	2	2	2	0	0	0	0	0	0	0	2	0
K00005	0	12	1	33	0	0	3	0	7	5	0	6
K00008	2	4	4	0	0	1	0	0	0	0	2	0
K00009	2	13	8	19	0	0	1	0	94	9	0	3
K00010	0	0	0	1	0	0	0	0	0	0	3	0
K00012	0	10	0	42	0	0	5	0	2	5	0	5
K00013	0	11	3	28	3	1	3	0	5	3	0	4
K00014	2	48	10	142	0	0	0	0	329	51	0	54
K00015	3	9	1	2	0	0	2	0	5	3	1	0
K00016	4	78	23	179	1	2	6	1	694	64	0	46
K00018	0	1	0	0	0	0	2	0	0	0	0	1
K00020	4	63	11	179	2	0	0	0	512	69	2	18
K00021	0	0	0	1	0	0	0	0	4	0	0	0
K00023	0	0	0	0	0	0	0	0	0	1	0	0
K00024	0	0	0	0	0	0	2	0	2	0	0	0
K00027	4	115	30	314	0	0	5	2	932	71	0	70
K00029	2	6	0	11	0	0	2	0	13	2	0	1
K00030	0	3	0	19	0	0	0	0	0	0	0	0
K00031	1	0	0	0	0	0	1	2	0	0	0	2
K00033	2	103	14	238	1	0	0	1	1090	102	1	85
K00034	0	58	14	151	0	0	0	0	300	37	0	29
K00036	3	80	16	233	2	0	0	0	860	82	0	75
K00039	0	0	0	0	0	0	0	0	0	1	0	0
K00040	4	157	43	311	0	0	0	2	1399	180	0	89
K00041	0	67	27	245	0	0	1	0	960	107	0	41
K00042	0	5	0	23	0	0	0	0	7	7	2	0
K00045	0	17	3	29	0	0	0	0	0	20	0	9
K00046	0	72	15	147	0	2	2	0	543	66	2	45
K00048	0	102	20	211	0	0	0	0	753	62	0	26
K00050	1	0	0	0	0	0	0	0	0	0	0	0
K00052	0	12	0	32	1	0	6	0	2	15	0	3
K00053	0	11	0	18	0	0	2	0	0	9	0	2
K00054	0	188	50	429	0	0	8	2	1693	177	4	90
K00055	1	0	0	0	0	0	3	0	0	0	0	0
K00057	4	68	25	210	5	1	1	0	773	90	2	52
K00058	2	57	14	122	1	0	0	0	384	23	0	12
K00059	4	155	45	338	2	2	0	1	1375	165	0	72
K00060	0	0	0	0	0	0	0	2	0	0	0	0
K00065	0	1	0	4	0	1	1	0	5	0	0	0
K00066	0	0	0	1	0	0	0	0	0	0	0	0
K00067	0	61	13	172	0	1	0	0	415	48	1	35
K00068	2	0	0	1	0	0	0	0	0	0	0	0
K00074	1	3	0	3	0	0	0	0	0	0	0	0
K00075	2	73	11	146	2	2	0	6	627	77	0	41
K00076	0	4	0	8	0	0	0	1	21	4	0	2
K00077	2	0	0	0	3	2	0	0	0	0	2	0
K00083	0	3	0	4	0	0	0	0	0	0	0	0
K00088	4	136	34	361	0	0	2	2	1405	134	5	71
K00090	1	0	0	1	0	0	0	0	0	0	1	0
K00091	2	5	0	16	0	0	0	0	0	3	0	0
K00096	0	0	0	3	0	0	0	0	0	0	0	0
K00097	1	11	0	21	0	0	0	1	0	6	0	3
K00099	0	12	0	35	2	4	0	0	4	2	0	6
K00101	0	0	0	0	0	2	0	0	0	0	0	0
K00102	2	0	0	0	0	0	0	0	0	0	0	0
K00104	2	2	0	0	0	0	0	0	0	0	0	0
K00105	1	7	0	0	1	0	0	0	0	0	0	0
K00108	0	0	1	0	0	0	0	0	0	0	0	0
K00111	3	9	1	0	1	2	3	0	2	0	0	0
K00116	0	0	0	0	1	0	0	0	0	0	0	0
K00117	0	65	7	126	0	0	0	2	2	41	0	10
K00118	0	0	0	1	0	0	0	0	1	0	0	0
K00121	1	7	2	11	0	2	1	0	0	1	0	5
K00123	2	0	0	0	0	1	0	0	0	0	0	2
K00124	0	2	0	2	0	2	2	0	0	0	0	0
K00128	1	0	0	2	0	0	1	0	0	1	0	0
K00130	0	0	0	0	0	0	0	0	4	0	0	0
K00132	0	0	0	2	0	0	0	0	0	0	0	0
K00133	4	23	0	24	2	0	0	2	0	6	0	3
K00134	8	152	33	329	8	0	9	3	1588	134	0	111
K00135	11	17	0	35	4	2	0	0	6	12	0	4
K00138	0	1	0	3	0	0	0	0	0	0	0	0
K00140	2	0	0	0	0	0	0	0	0	0	0	2
K00145	1	8	0	16	0	0	0	0	2	6	0	4
K00147	4	15	0	28	2	1	0	4	0	10	0	4
K00148	4	0	0	0	0	0	0	0	0	0	0	0
K00156	4	13	1	32	0	0	0	0	89	9	0	4
K00158	12	92	36	254	2	0	0	0	1186	79	0	76
K00161	2	87	21	226	1	0	2	0	847	99	2	79
K00162	0	90	17	218	0	2	0	0	1019	78	0	73
K00163	0	2	0	0	0	0	0	0	0	0	0	2
K00164	2	37	1	88	2	3	0	0	2	17	1	6
K00166	2	0	0	2	0	0	0	0	3	0	0	0
K00167	0	0	0	0	0	0	0	0	1	0	0	0
K00169	0	1	0	0	0	0	0	0	0	0	0	0
K00170	0	0	0	0	0	1	0	0	9	0	0	0
K00171	0	0	0	0	0	0	2	0	0	0	0	0
K00174	0	0	0	0	0	2	2	0	0	0	0	2
K00175	1	0	0	0	2	0	0	0	0	0	0	0
