module_accession	pathway_name	pathway_class	matching_ko	missing_ko	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00873,K00927,K01689,K01803,K01834	K01689	100	100	100	100	80	60	80	70	100	100	30	100
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00033,K00036,K00615,K00616,K01057,K01783,K01807,K01810	K00616,K01807,K01810	100	100	100	100	66.67	41.67	58.33	91.67	100	100	33.33	100
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00615,K00616,K01783,K01807	K00616,K01807	100	100	100	100	50	50	100	100	100	100	25	100
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00040,K00874,K01625,K01686,K01812	K00040,K01625,K01686,K01812	100	100	100	100	20	40	40	80	100	100	20	100
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K03737	K00169,K00171,K00172	100	100	100	100	100	25	100	100	100	100	100	100
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00820,K00845,K01810,K03431,K04042	K00845,K01810	100	100	100	100	60	40	60	100	100	100	20	100
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K00609,K00762,K01465,K01591,K01955,K01956,K17828	K00610	94.44	94.44	94.44	94.44	61.11	83.33	66.67	61.11	94.44	94.44	50	100
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00927,K01610,K01689,K01803,K01834,K03841	K01623	92.86	85.71	85.71	85.71	64.29	28.57	78.57	64.29	78.57	85.71	35.71	85.71
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00845,K00850,K00873,K00927,K01689,K01803,K01810,K01834	K01623	88.89	100	100	100	44.44	55.56	66.67	83.33	100	100	50	100
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00133,K00215,K00928,K01586,K01714	K03340	83.33	83.33	50	83.33	50	16.67	33.33	66.67	16.67	66.67	16.67	66.67
