sample_id	group	Mplut	Mplut_typical	Mplut_atypical	BQCV	RNA_Abac	RNA_AmPPO	RNA_Apid	RNA_Apis	RNA_Def-1	RNA_Hymen	RNA_VgMc
01_NTC_a	01_NTC	no	no	no	no	-17.69048624	-23.29773696	-16.59383162	-21.04083911	-22.53932033	-19.44601181	-25.64786413
01_NTC_b	01_NTC	no	no	no	no	-19.76423171	-24.09583387	-15.96878432	-21.44553352	-21.39701199	-19.70833703	-24.35444811
01_NTC_c	01_NTC	no	no	no	no	-19.74035328	-23.41554434	-19.24608459	-20.48116972	-21.43943562	-19.57813053	-25.30482451
01_NTC_d	01_NTC	no	no	no	no	-21.47339596	-24.65393064	-19.90217131	-23.57214515	-22.26768757	-20.77048571	-24.75328143
01_NTC_e	01_NTC	no	no	no	no	-18.34709259	-24.70712267	-18.91102726	-22.07095603	-21.45780229	-19.842761	-25.18132841
01_NTC_f	01_NTC	no	no	no	no	-17.79237041	-24.79570894	-18.4132451	-23.4236241	-20.46759985	-19.16676749	-24.31009895
01_NTC_g	01_NTC	no	no	no	no	-28.00093593	-23.83220175	-19.3964436	-23.60780174	-22.29346274	-19.07581355	-26.19762311
01_NTC_h	01_NTC	no	no	no	no	-18.89051269	-26.16994901	-22.33318582	-22.54251353	-22.7792058	-21.56338904	-22.80828005
01_NTC_i	01_NTC	no	no	no	no	-20.18311516	-25.4217767	-19.84455014	-22.84246289	-21.73388465	-20.81964869	-25.06177346
02_ATCC_a	03_ATCC	yes	yes	no	no	-26.68904287	-24.3299239	-19.63981533	-22.85161816	-21.95627211	-18.35126123	-24.05077025
02_ATCC_b	03_ATCC	yes	yes	no	no	-25.3306675	-24.66607206	-22.27694741	-24.81866296	-17.9426621	-17.06595392	-23.82409909
02_ATCC_c	03_ATCC	yes	yes	no	no	-19.0179481	-24.97381278	-19.91427935	-27.68177444	-19.23866337	-18.25476311	-23.83592239
02_ATCC_d	03_ATCC	yes	yes	no	no	-17.72327579	-26.49677611	-21.39730965	-24.68733384	-19.64617553	-19.74422231	-23.54697318
02_ATCC_e	03_ATCC	yes	yes	no	no	-29.57120791	-25.07887803	-21.50270304	-21.37749008	-22.35184329	-19.2489016	-24.3547647
02_ATCC_f	03_ATCC	yes	yes	no	no	-22.96679892	-24.59382458	-22.13015245	-23.0823349	-23.7404323	-21.51057397	-24.97427983
02_ATCC_g	03_ATCC	yes	yes	no	no	-19.19368806	-23.091258	-18.70427418	-23.8457321	-20.98266475	-19.24975713	-23.92118419
02_ATCC_h	03_ATCC	yes	yes	no	no	-19.3412449	-26.24876771	-19.98459122	-22.74726575	-20.84364523	-19.35439962	-23.40831661
02_ATCC_i	03_ATCC	yes	yes	no	no	-19.54912399	-25.74165846	-24.62261513	-23.37070926	-25.31663411	-19.80159267	-24.42964426
03_qk206_a	05_qk206	yes	no	yes	yes	-28.36546177	-23.3171653	-21.37096622	-27.05744853	-24.10207344	-18.32671146	-24.01392968
03_qk206_b	05_qk206	yes	no	yes	yes	-21.42041624	-25.86220342	-20.58279694	-21.91223928	-19.30563095	-24.16972831	-24.23416648
03_qk206_c	05_qk206	yes	no	yes	yes	-19.99263326	-25.72538727	-27.54480714	-21.94988468	-21.32229476	-23.58910441	-22.61882199
03_qk206_d	05_qk206	yes	no	yes	yes	-17.38160592	-24.85483499	-19.24483356	-24.40113318	-20.13362993	-16.37057757	-22.7234169
03_qk206_e	05_qk206	yes	no	yes	yes	-16.14341429	-24.73918826	-20.18277789	-21.48232191	-17.87024905	-23.42904506	-23.73613207
03_qk206_f	05_qk206	yes	no	yes	yes	-21.33229601	-25.23016438	-21.75468701	-22.48916805	-21.36988224	-25.90799134	-22.5583818
03_qk206_g	05_qk206	yes	no	yes	yes	-19.88167515	-25.73715707	-20.87146097	-25.41420395	-21.96995401	-22.28863148	-23.05956167
03_qk206_h	05_qk206	yes	no	yes	yes	-17.01635622	-24.01714669	-17.96308783	-24.65882835	-18.79169833	-19.31007707	-23.98097771
03_qk206_i	05_qk206	yes	no	yes	yes	-19.30989569	-24.43123189	-23.21756758	-23.38066382	-20.63124246	-21.87141311	-24.8467424
04_BQCV_a	02_BQCV	no	no	no	yes	-17.62737955	-22.71230761	-17.80690217	-20.25648695	-20.050628	-15.54937415	-22.87349836
04_BQCV_b	02_BQCV	no	no	no	yes	-17.33919797	-22.6117899	-18.8939331	-21.61009763	-22.71892576	-18.01891295	-23.39961285
04_BQCV_c	02_BQCV	no	no	no	yes	-26.05930586	-24.27944262	-16.86835829	-21.80527555	-21.63908151	-17.72082149	-23.6315469
04_BQCV_d	02_BQCV	no	no	no	yes	-17.16415083	-24.84814899	-19.97971416	-24.65918634	-21.08087351	-19.37913745	-23.47755163
04_BQCV_e	02_BQCV	no	no	no	yes	-27.54937957	-24.15302172	-18.56005571	-22.28062953	-23.70739502	-21.24417522	-25.53463731
04_BQCV_f	02_BQCV	no	no	no	yes	-24.20059674	-23.33754573	-20.27292058	-22.85706026	-20.9242006	-19.58153201	-23.73732921
04_BQCV_g	02_BQCV	no	no	no	yes	-18.03789307	-24.81490543	-15.56115433	-21.31991162	-20.90765321	-19.56045126	-23.871303
04_BQCV_h	02_BQCV	no	no	no	yes	-21.19991037	-23.29273628	-23.11293959	-24.39973715	-24.27469881	-19.97272115	-23.49462388
04_BQCV_i	02_BQCV	no	no	no	yes	-21.17057268	-23.778675	-21.81393811	-26.7573791	-20.3183011	-21.10911075	-23.35396781
05_ATCC_BQCV_a	04_ATCC_BQCV	yes	yes	no	yes	-16.85291978	-23.58707799	-21.1136336	-24.97973974	-18.57609751	-14.73351695	-23.46392594
05_ATCC_BQCV_b	04_ATCC_BQCV	yes	yes	no	yes	-24.27683907	-23.28901324	-21.8447323	-25.95494743	-16.77861042	-16.08168505	-24.14107108
05_ATCC_BQCV_c	04_ATCC_BQCV	yes	yes	no	yes	-29.41884194	-25.88720639	-28.60217677	-21.6504731	-22.73252172	-25.25199888	-23.07181468
05_ATCC_BQCV_d	04_ATCC_BQCV	yes	yes	no	yes	-29.09980045	-25.02509632	-29.20331103	-22.83640419	-21.30917934	-24.64921541	-22.88479206
05_ATCC_BQCV_e	04_ATCC_BQCV	yes	yes	no	yes	-20.50259489	-22.10044305	-29.24434972	-21.79927134	-21.54888488	-24.38917776	-23.96125738
05_ATCC_BQCV_f	04_ATCC_BQCV	yes	yes	no	yes	-21.2810953	-23.94857579	-20.90163271	-23.60121969	-25.85319936	-21.75669605	-25.16383177
05_ATCC_BQCV_g	04_ATCC_BQCV	yes	yes	no	yes	-24.98171232	-25.66857285	-25.07087251	-23.43144627	-21.36478018	-24.73282147	-24.80867924
05_ATCC_BQCV_h	04_ATCC_BQCV	yes	yes	no	yes	-22.34796054	-25.04454854	-23.25186093	-25.00484511	-22.08772044	-23.62426256	-24.78172473
05_ATCC_BQCV_i	04_ATCC_BQCV	yes	yes	no	yes	-24.57491915	-26.07995331	-28.91537704	-26.09467237	-23.64067106	-26.79128233	-24.89664527
06_qk206_BQCV_a	06_qk206_BQCV	yes	no	yes	yes	-21.40622336	-25.42295724	-24.39896563	-26.55909166	-18.45391656	-19.57185294	-22.60006969
06_qk206_BQCV_b	06_qk206_BQCV	yes	no	yes	yes	-19.8902086	-22.29128317	-23.4406176	-25.76327027	-21.6652285	-23.96778786	-20.10722118
06_qk206_BQCV_c	06_qk206_BQCV	yes	no	yes	yes	-17.56368906	-22.77172783	-18.8082335	-24.31943272	-19.53567288	-21.30673056	-21.90662819
06_qk206_BQCV_d	06_qk206_BQCV	yes	no	yes	yes	-21.42927618	-24.76979934	-21.05227151	-24.08416732	-16.85432181	-21.21162027	-21.7949229
06_qk206_BQCV_e	06_qk206_BQCV	yes	no	yes	yes	-25.86400368	-26.02180446	-23.22580383	-23.34401335	-20.6952363	-20.4087446	-21.71295441
06_qk206_BQCV_f	06_qk206_BQCV	yes	no	yes	yes	-19.82220499	-25.29759339	-22.63203599	-24.19943446	-19.30772725	-22.50158057	-22.50109342
06_qk206_BQCV_g	06_qk206_BQCV	yes	no	yes	yes	-16.61418155	-20.83694562	-20.327251	-21.84993338	-15.80225976	-19.44398107	-22.56746622
