sample_id	group	Mplut	Mplut_typical	Mplut_atypical	BQCV	qPCR_RNA_BQCV	qPCR_DNA_Mplut
01_NTC_a	01_NTC	no	no	no	no	2.792966131	2.424934796
01_NTC_b	01_NTC	no	no	no	no	2.38257293	2.016365406
01_NTC_c	01_NTC	no	no	no	no	2.709287828	2.395051578
01_NTC_d	01_NTC	no	no	no	no	2.666941439	2
01_NTC_e	01_NTC	no	no	no	no	2.938822639	2.104112528
01_NTC_f	01_NTC	no	no	no	no	2.707331373	2
01_NTC_g	01_NTC	no	no	no	no	3.013855384	2.032194218
01_NTC_h	01_NTC	no	no	no	no	2	2
01_NTC_i	01_NTC	no	no	no	no	2.650848612	2
02_ATCC_a	03_ATCC	yes	yes	no	no	2.624106348	2
02_ATCC_b	03_ATCC	yes	yes	no	no	2.377500708	2
02_ATCC_c	03_ATCC	yes	yes	no	no	2	2
02_ATCC_d	03_ATCC	yes	yes	no	no	2	2
02_ATCC_e	03_ATCC	yes	yes	no	no	2.589459393	3.858273973
02_ATCC_f	03_ATCC	yes	yes	no	no	2.670149905	2
02_ATCC_g	03_ATCC	yes	yes	no	no	2	2
02_ATCC_h	03_ATCC	yes	yes	no	no	2.501728263	2
02_ATCC_i	03_ATCC	yes	yes	no	no	2.567919504	2
03_qk206_a	05_qk206	yes	no	yes	yes	2.765057171	3.957208227
03_qk206_b	05_qk206	yes	no	yes	yes	2.396995458	7.223096344
03_qk206_c	05_qk206	yes	no	yes	yes	2.745580587	6.786148721
03_qk206_d	05_qk206	yes	no	yes	yes	2.833458258	6.745743772
03_qk206_e	05_qk206	yes	no	yes	yes	2.468331417	7.077373785
03_qk206_f	05_qk206	yes	no	yes	yes	2.612306461	7.16816544
03_qk206_g	05_qk206	yes	no	yes	yes	2.87486756	7.56449599
03_qk206_h	05_qk206	yes	no	yes	yes	2.307731407	7.46666265
03_qk206_i	05_qk206	yes	no	yes	yes	2.652130874	7.351137418
04_BQCV_a	02_BQCV	no	no	no	yes	3.685773631	2
04_BQCV_b	02_BQCV	no	no	no	yes	3.130127281	2
04_BQCV_c	02_BQCV	no	no	no	yes	3.382479725	2
04_BQCV_d	02_BQCV	no	no	no	yes	3.170374486	2
04_BQCV_e	02_BQCV	no	no	no	yes	3.223615435	2
04_BQCV_f	02_BQCV	no	no	no	yes	2.976386017	2
04_BQCV_g	02_BQCV	no	no	no	yes	3.316175918	2
04_BQCV_h	02_BQCV	no	no	no	yes	3.593378186	2
04_BQCV_i	02_BQCV	no	no	no	yes	3.151506848	2
05_ATCC_BQCV_a	04_ATCC_BQCV	yes	yes	no	yes	2.467038678	2.713704575
05_ATCC_BQCV_b	04_ATCC_BQCV	yes	yes	no	yes	2.701647672	3.670262115
05_ATCC_BQCV_c	04_ATCC_BQCV	yes	yes	no	yes	3.163078719	3.889977689
05_ATCC_BQCV_d	04_ATCC_BQCV	yes	yes	no	yes	2.785317852	3.644931822
05_ATCC_BQCV_e	04_ATCC_BQCV	yes	yes	no	yes	2.773558508	3.924895449
05_ATCC_BQCV_f	04_ATCC_BQCV	yes	yes	no	yes	2.764323758	3.953973234
05_ATCC_BQCV_g	04_ATCC_BQCV	yes	yes	no	yes	2.685894645	3.96641933
05_ATCC_BQCV_h	04_ATCC_BQCV	yes	yes	no	yes	2.561508903	3.751750923
05_ATCC_BQCV_i	04_ATCC_BQCV	yes	yes	no	yes	2.38519758	3.732021013
06_qk206_BQCV_a	06_qk206_BQCV	yes	no	yes	yes	3.057697179	7.230616659
06_qk206_BQCV_b	06_qk206_BQCV	yes	no	yes	yes	3.890190324	7.21891126
06_qk206_BQCV_c	06_qk206_BQCV	yes	no	yes	yes	3.299016032	6.949988592
06_qk206_BQCV_d	06_qk206_BQCV	yes	no	yes	yes	2.816003054	7.62360747
06_qk206_BQCV_e	06_qk206_BQCV	yes	no	yes	yes	3.319639404	6.997438728
06_qk206_BQCV_f	06_qk206_BQCV	yes	no	yes	yes	2.23709787	6.921026642
06_qk206_BQCV_g	06_qk206_BQCV	yes	no	yes	yes	2.131025393	7.442659081
06_qk206_BQCV_h	06_qk206_BQCV	yes	no	yes	yes	2.854905542	6.926309286
06_qk206_BQCV_i	06_qk206_BQCV	yes	no	yes	yes	2.612616917	6.33416333
