sample_id	group	Mplut	Mplut_typical	Mplut_atypical	BQCV	weight
01_NTC_a	01_NTC	no	no	no	no	214.935
01_NTC_b	01_NTC	no	no	no	no	298.885
01_NTC_c	01_NTC	no	no	no	no	325.22
01_NTC_d	01_NTC	no	no	no	no	281.175
01_NTC_e	01_NTC	no	no	no	no	271.055
01_NTC_f	01_NTC	no	no	no	no	323.38
01_NTC_g	01_NTC	no	no	no	no	296.815
01_NTC_h	01_NTC	no	no	no	no	182.505
01_NTC_i	01_NTC	no	no	no	no	243.57
02_ATCC_a	03_ATCC	yes	yes	no	no	226.955
02_ATCC_b	03_ATCC	yes	yes	no	no	258.97
02_ATCC_c	03_ATCC	yes	yes	no	no	319.96
02_ATCC_d	03_ATCC	yes	yes	no	no	225.72
02_ATCC_e	03_ATCC	yes	yes	no	no	206.91
02_ATCC_f	03_ATCC	yes	yes	no	no	247.38
02_ATCC_g	03_ATCC	yes	yes	no	no	188.195
02_ATCC_h	03_ATCC	yes	yes	no	no	223.25
02_ATCC_i	03_ATCC	yes	yes	no	no	202.16
03_qk206_a	05_qk206	yes	no	yes	yes	206.64
03_qk206_b	05_qk206	yes	no	yes	yes	152.19
03_qk206_c	05_qk206	yes	no	yes	yes	86.76
03_qk206_d	05_qk206	yes	no	yes	yes	67.05
03_qk206_e	05_qk206	yes	no	yes	yes	140.22
03_qk206_f	05_qk206	yes	no	yes	yes	78.75
03_qk206_g	05_qk206	yes	no	yes	yes	91.08
03_qk206_h	05_qk206	yes	no	yes	yes	105.21
03_qk206_i	05_qk206	yes	no	yes	yes	157.14
04_BQCV_a	02_BQCV	no	no	no	yes	249.47
04_BQCV_b	02_BQCV	no	no	no	yes	232.845
04_BQCV_c	02_BQCV	no	no	no	yes	243.105
04_BQCV_d	02_BQCV	no	no	no	yes	266.76
04_BQCV_e	02_BQCV	no	no	no	yes	202.35
04_BQCV_f	02_BQCV	no	no	no	yes	253.745
04_BQCV_g	02_BQCV	no	no	no	yes	264.575
04_BQCV_h	02_BQCV	no	no	no	yes	217.55
04_BQCV_i	02_BQCV	no	no	no	yes	291.65
05_ATCC_BQCV_a	04_ATCC_BQCV	yes	yes	no	yes	172.37
05_ATCC_BQCV_b	04_ATCC_BQCV	yes	yes	no	yes	135.19
05_ATCC_BQCV_c	04_ATCC_BQCV	yes	yes	no	yes	153.56
05_ATCC_BQCV_d	04_ATCC_BQCV	yes	yes	no	yes	121.44
05_ATCC_BQCV_e	04_ATCC_BQCV	yes	yes	no	yes	183.59
05_ATCC_BQCV_f	04_ATCC_BQCV	yes	yes	no	yes	250.91
05_ATCC_BQCV_g	04_ATCC_BQCV	yes	yes	no	yes	204.16
05_ATCC_BQCV_h	04_ATCC_BQCV	yes	yes	no	yes	193.93
05_ATCC_BQCV_i	04_ATCC_BQCV	yes	yes	no	yes	141.13
06_qk206_BQCV_a	06_qk206_BQCV	yes	no	yes	yes	82.53
06_qk206_BQCV_b	06_qk206_BQCV	yes	no	yes	yes	86.76
06_qk206_BQCV_c	06_qk206_BQCV	yes	no	yes	yes	98.82
06_qk206_BQCV_d	06_qk206_BQCV	yes	no	yes	yes	124.02
06_qk206_BQCV_e	06_qk206_BQCV	yes	no	yes	yes	72.72
06_qk206_BQCV_f	06_qk206_BQCV	yes	no	yes	yes	164.7
06_qk206_BQCV_g	06_qk206_BQCV	yes	no	yes	yes	131.22
06_qk206_BQCV_h	06_qk206_BQCV	yes	no	yes	yes	54
06_qk206_BQCV_i	06_qk206_BQCV	yes	no	yes	yes	184.05
