ID	Function	Clan	Gene	Count
PF00009	Elongation factor Tu GTP binding domain	CL0023	GTP_EFTU	1
PF00012	Hsp70 protein	CL0108	HSP70	3
PF00046	Homeodomain	CL0123	Homeodomain	21
PF00113	Enolase, C-terminal TIM barrel domain	CL0036	Enolase_C	2
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	CL0123	HTH_1	1
PF00135	Carboxylesterase family	CL0028	COesterase	1
PF00146	NADH dehydrogenase	CL0425	NADHdh	2
PF00154	recA bacterial DNA recombination protein	CL0023	RecA	2
PF00162	Phosphoglycerate kinase		PGK	2
PF00177	Ribosomal protein S7p/S5e		Ribosomal_S7	1
PF00181	Ribosomal Proteins L2, RNA binding domain	CL0021	Ribosomal_L2	2
PF00199	Catalase		Catalase	2
PF00216	Bacterial DNA-binding protein	CL0548	Bac_DNA_binding	1
PF00233	3'5'-cyclic nucleotide phosphodiesterase	CL0237	PDEase_I	6
PF00271	Helicase conserved C-terminal domain	CL0023	Helicase_C	1
PF00310	Glutamine amidotransferases class-II	CL0052	GATase_2	1
PF00318	Ribosomal protein S2	CL0067	Ribosomal_S2	2
PF00338	Ribosomal protein S10p/S20e		Ribosomal_S10	2
PF00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit		Complex1_49kDa	1
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	CL0105	PTS_EIIA_1	3
PF00365	Phosphofructokinase	CL0240	PFK	1
PF00406	Adenylate kinase	CL0023	ADK	3
PF00413	Matrixin	CL0126	Peptidase_M10	15
PF00448	SRP54-type protein, GTPase domain	CL0023	SRP54	2
PF00456	Transketolase, thiamine diphosphate binding domain	CL0254	Transketolase_N	3
PF00472	RF-1 domain	CL0337	RF-1	1
PF00478	IMP dehydrogenase / GMP reductase domain	CL0036	IMPDH	2
PF00483	Nucleotidyl transferase	CL0110	NTP_transferase	1
PF00488	MutS domain V	CL0023	MutS_V	2
PF00543	Nitrogen regulatory protein P-II	CL0089	P-II	1
PF00562	RNA polymerase Rpb2, domain 6	CL0410	RNA_pol_Rpb2_6	1
PF00580	UvrD/REP helicase N-terminal domain	CL0023	UvrD-helicase	1
PF00588	SpoU rRNA Methylase family	CL0098	SpoU_methylase	1
PF00589	Phage integrase family	CL0382	Phage_integrase	1
PF00673	ribosomal L5P family C-terminus		Ribosomal_L5_C	1
PF00709	Adenylosuccinate synthetase	CL0023	Adenylsucc_synt	1
PF00773	RNB domain		RNB	1
PF00871	Acetokinase family	CL0108	Acetate_kinase	2
PF00886	Ribosomal protein S16		Ribosomal_S16	1
PF00899	ThiF family	CL0063	ThiF	2
PF00920	Dehydratase family		ILVD_EDD	1
PF01084	Ribosomal protein S18	CL0123	Ribosomal_S18	1
PF01134	Glucose inhibited division protein A	CL0063	GIDA	3
PF01148	Cytidylyltransferase family	CL0234	CTP_transf_1	1
PF01202	Shikimate kinase	CL0023	SKI	2
PF01207	Dihydrouridine synthase (Dus)	CL0036	Dus	1
PF01227	GTP cyclohydrolase I	CL0334	GTP_cyclohydroI	1
PF01255	Putative undecaprenyl diphosphate synthase		Prenyltransf	1
PF01268	Formate--tetrahydrofolate ligase	CL0023	FTHFS	4
PF01406	tRNA synthetases class I (C) catalytic domain	CL0039	tRNA-synt_1e	1
PF01433	Peptidase family M1 domain	CL0126	Peptidase_M1	1
PF01458	SUF system FeS cluster assembly, SufBD		SUFBD	1
PF01470	Pyroglutamyl peptidase	CL0379	Peptidase_C15	1
PF01555	DNA methylase	CL0063	N6_N4_Mtase	1
PF01580	FtsK/SpoIIIE family	CL0023	FtsK_SpoIIIE	1
PF01625	Peptide methionine sulfoxide reductase		PMSR	1
PF01653	NAD-dependent DNA ligase adenylation domain	CL0179	DNA_ligase_aden	1
PF01656	CobQ/CobB/MinD/ParA nucleotide binding domain	CL0023	CbiA	2
PF01695	IstB-like ATP binding protein	CL0023	IstB_IS21	3
PF01717	Cobalamin-independent synthase, Catalytic domain	CL0036	Meth_synt_2	2
PF01726	LexA DNA binding domain	CL0123	LexA_DNA_bind	1
PF01809	Putative membrane protein insertion efficiency factor		YidD	1
PF02092	Glycyl-tRNA synthetase beta subunit		tRNA_synt_2f	2
PF02322	Cytochrome bd terminal oxidase subunit II		Cyt_bd_oxida_II	2
PF02350	UDP-N-acetylglucosamine 2-epimerase	CL0113	Epimerase_2	2
PF02381	MraZ protein, putative antitoxin-like	CL0132	MraZ	1
PF02503	Polyphosphate kinase middle domain	CL0764	PP_kinase	1
PF02514	CobN/Magnesium Chelatase		CobN-Mg_chel	1
PF02601	Exonuclease VII, large subunit		Exonuc_VII_L	1
PF02652	L-lactate permease	CL0182	Lactate_perm	1
PF02733	Dak1 domain	CL0245	Dak1	2
PF02739	5'-3' exonuclease, N-terminal resolvase-like domain	CL0280	5_3_exonuc_N	1
PF02773	S-adenosylmethionine synthetase, C-terminal domain		S-AdoMet_synt_C	1
