L1	L2	L3	L4	ID	Function	EC	Count
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00003	hom; homoserine dehydrogenase	1.1.1.3	3
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00003	hom; homoserine dehydrogenase	1.1.1.3	3
06_Amino acid utilization biosynthesis metabolism	D-arginine and D-ornithine metabolism			K00003	hom; homoserine dehydrogenase	1.1.1.3	3
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00003	hom; homoserine dehydrogenase	1.1.1.3	3
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00003	hom; homoserine dehydrogenase	1.1.1.3	3
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00003	hom; homoserine dehydrogenase	1.1.1.3	3
21_Cellular response to stress	Response to osmotic stress			K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.8	2
20_Hydrolysis of polymers	Xylose			K00007	dalD; D-arabinitol 4-dehydrogenase	1.1.1.11	1
20_Hydrolysis of polymers	Xylose			K00011	AKR1B; aldehyde reductase	1.1.1.21	3
20_Hydrolysis of polymers	Galactose			K00011	AKR1B; aldehyde reductase	1.1.1.21	3
20_Hydrolysis of polymers	Arabinose			K00011	AKR1B; aldehyde reductase	1.1.1.21	3
21_Cellular response to stress	Cellular response to stress			K00011	AKR1B; aldehyde reductase	1.1.1.21	3
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00013	hisD; histidinol dehydrogenase	1.1.1.23	6
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00013	hisD; histidinol dehydrogenase	1.1.1.23	6
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00014	aroE; shikimate dehydrogenase	1.1.1.25	2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00014	aroE; shikimate dehydrogenase	1.1.1.25	2
01_Fermentation	Bifidobacterium shunt			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	13
01_Fermentation	Heterolactic fermentation			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	13
01_Fermentation	Homolactic fermentation			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	13
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	13
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	13
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	13
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	13
06_Amino acid utilization biosynthesis metabolism	Histidine degradation			K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1.1.1.31	2
01_Fermentation	Succinate fermentation to butyrate			K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	3
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	3
01_Fermentation	Heterolactic fermentation			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	43
21_Cellular response to stress	Cellular response to stress			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	43
01_Fermentation	Heterolactic fermentation			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	15
