L1	ID	Function	EC	UNIPROT ID	Count
Virus protein with function beneficial for the host	VOG00260	Guanylate kinase		KGUA_HUMAN	3
Virus protein with function beneficial for the host	VOG00420	Bleomycin hydrolase		BLMH_RAT	2
Virus protein with function beneficial for the host	VOG00580	RNA polymerase sigma factor RpoD		RPOD_ECOLI	17
Function unknown	VOG01208	Putative protein p41		VP41_BPAPS	28
Function unknown	VOG01318	Hypothetical protein			1
Function unknown	VOG01324	Terminase large subunit			31
Virus protein with function beneficial for the host | Virus replication	VOG01469	DNA polymerase III subunit alpha		DPO3A_THEAQ	13
Function unknown	VOG01904	Helix-turn-helix domain-containing protein			4
Virus protein with function beneficial for the host	VOG02491	ATP-dependent Clp protease proteolytic subunit 1		CLPP1_PROMT	1
Virus replication	VOG02518	Thymidylate synthase		TYSY_BPT4	38
Virus protein with function beneficial for the host	VOG03338	PhoH-like protein		PHOL_BACSU	7
Function unknown	VOG03962	Putative protein p51		VP51_BPAPS	1
Function unknown	VOG04099	Minor head protein			2
Virus protein with function beneficial for the host | Virus structure	VOG05014	Protease I		PRO_BPMU	1
Function unknown	VOG08271	Probable methylated-DNA--protein-cysteine methyltransferase		MGMT_MIMIV	3
Function unknown	VOG08597	Transcriptional regulator			11
Virus protein with function beneficial for the host	VOG09118	Cysteine--tRNA ligase, cytoplasmic		SYCC_DICDI	7
Virus protein with function beneficial for the host	VOG09123	GTP cyclohydrolase 1		GCH1_DESRM	5
Function unknown	VOG09269	Chloramphenicol acetyltransferase			6
Function unknown	VOG09415	DNA helicase			77
Function unknown	VOG09760	Replication initiation protein			3
Function unknown	VOG10427	Hypothetical protein			35
Function unknown	VOG10449	Uncharacterized protein HI_1405		Y1405_HAEIN	1
Virus protein with function beneficial for the host	VOG11227	ABC transporter F family member 4		AB4F_ARATH	3
Virus protein with function beneficial for the host | Virus replication	VOG11241	Multifunctional CCA protein		CCA_SHEPA	3
Virus protein with function beneficial for the host	VOG12011	DNA topoisomerase 2-alpha		TOP2A_CRIGR	17
Function unknown	VOG12029	Hypothetical protein			16
Virus protein with function beneficial for the host	VOG12234	Serine hydroxymethyltransferase		GLYA_NITSB	17
Virus protein with function beneficial for the host	VOG13448	ATP-dependent zinc metalloprotease FTSH 1, chloroplastic		FTSH1_ORYSJ	16
Function unknown	VOG13817	UPF0335 protein Avi_3695		Y3695_ALLAM	8
Function unknown	VOG13845	Tail length tape measure protein			12
Function unknown	VOG14074	DnaJ-like protein R260		YR260_MIMIV	3
Virus protein with function beneficial for the host	VOG14634	Chromosome partitioning protein ParA		PARA_CAUVN	9
Virus protein with function beneficial for the host	VOG14640	34.2 kDa protein in rubredoxin operon		R34K_CLOPA	27
Virus protein with function beneficial for the host | Virus replication	VOG15191	Thymidine kinase		KITH_BPT4	9
Virus protein with function beneficial for the host | Virus replication	VOG15635	DNA polymerase		DPOL_BPMD2	1
Virus protein with function beneficial for the host | Virus replication	VOG15968	Probable flavin-dependent thymidylate synthase		THYX_BPML5	2
Virus protein with function beneficial for the host | Virus replication	VOG17070	DNA polymerase		DPOL_BPSP2	9
Virus protein with function beneficial for the host	VOG17365	Ribonucleoside-diphosphate reductase subunit beta		RIR2_BACSU	13
Virus protein with function beneficial for the host	VOG17654	Glucose-1-phosphate thymidylyltransferase		RMLA_YEREN	16
Virus protein with function beneficial for the host	VOG18566	DTDP-4-dehydrorhamnose 3,5-epimerase		RMLC_METTH	5
