L1	ID	Function	EC	FUN_ID	Count
Carb binding modules	CBM50	chitopentaose binding		CBM	13
Carb esterases	CE11	UDP-3-0-acyl N-acetylglucosamine deacetylase	3.5.1.108	CE	1
Carb esterases	CE12	pectin acetylesterase	3.1.1.-	CE	9
Carb esterases	CE9	N-acetylglucosamine 6-phosphate deacetylase	3.5.1.25	CE	11
Glycoside hydrolase	GH1	beta-glucosidase	3.2.1.21	GH	166
Glycoside hydrolase	GH101	endo-alpha-N-acetylgalactosaminidase	3.2.1.97	GH	59
Glycoside hydrolase	GH102	peptidoglycan lytic transglycosylase	3.2.1.-	GH	1
Glycoside hydrolase	GH103	peptidoglycan lytic transglycosylase	3.2.1.-	GH	4
Glycoside hydrolase	GH105	unsaturated rhamnogalacturonyl hydrolase	3.2.1.172	GH	32
Glycoside hydrolase	GH125	exo-alpha-1,6-mannosidase	3.2.1.163	GH	63
Glycoside hydrolase	GH126	alpha-amylase	3.2.1.-	GH	3
Glycoside hydrolase	GH13	alpha-amylase	3.2.1.1	GH	8
Glycoside hydrolase	GH136	lacto-N-biosidase	3.2.1.140	GH	7
Glycoside hydrolase	GH146	beta-L-arabinofuranosidase	3.2.1.185	GH	13
Glycoside hydrolase	GH151	alpha-L-fucosidase	3.2.1.51	GH	11
Glycoside hydrolase	GH154	Beta-glucuronidase; beta-1,6-D-glucuronidase	3.2.1.31	GH	22
Glycoside hydrolase	GH170	6-phospho-N-acetylmuramidase	3.2.1.-	GH	44
Glycoside hydrolase	GH20	beta-hexosaminidase	3.2.1.52	GH	3
Glycoside hydrolase	GH28	polygalacturonase	3.2.1.15	GH	20
Glycoside hydrolase	GH32	invertase	3.2.1.26	GH	2
Glycoside hydrolase	GH35	beta-galactosidase	3.2.1.23	GH	65
Glycoside hydrolase	GH42	beta-galactosidase	3.2.1.23	GH	52
Glycoside hydrolase	GH51	endoglucanase	3.2.1.4	GH	25
Glycoside hydrolase	GH65	alpha,alpha-trehalase	3.2.1.28	GH	21
Glycoside hydrolase	GH78	alpha-L-rhamnosidase	3.2.1.40	GH	16
Glycoside hydrolase	GH88	d-4,5-unsaturated beta-glucuronyl hydrolase	3.2.1.-	GH	24
Glycoside hydrolase	GH92	mannosyl-oligosaccharide alpha-1,2-mannosidase	3.2.1.113	GH	18
Glycoside hydrolase	GH93	exo-alpha-L-1,5-arabinanase	3.2.1.-	GH	10
Glycosyl trasferase	GT107	CMP-beta-KDO: beta-2,4-KDO transferase	2.4.99.-	GT	2
Glycosyl trasferase	GT111	UDP-Galf: beta-1,3-galactofuranosyltransferase	2.4.1.-	GT	1
Glycosyl trasferase	GT112	ADP-glyceromannoheptose: glycoprotein O-heptosyltransferase	2.4.99.-	GT	13
Glycosyl trasferase	GT28	1,2-diacylglycerol 3-beta-galactosyltransferase	2.4.1.46	GT	28
Glycosyl trasferase	GT5	UDP-Glc: glycogen glucosyltransferase	2.4.1.11	GT	19
Glycosyl trasferase	GT51	murein polymerase	2.4.1.129	GT	29
Polysacharide lyases	PL1	pectate lyase	4.2.2.2	PL	2
Polysacharide lyases	PL33	hyaluronate lyase	4.2.2.1	PL	17
Polysacharide lyases	PL9	pectate lyase	4.2.2.2	PL	11
