ID	Function	Count
GVOG02390	no_annotation	1
GVOG02410	no_annotation	2
GVOG02414	no_annotation	1
GVOG02756	uncharacterized protein	1
GVOG11896	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	3
GVOGm0094	uncharacterized protein	1
GVOGm0274	no_annotation	1
GVOGm0548	Hsp70 protein | heat shock protein 70	1
GVOGm1060	no_annotation	1
GVOGm1333	no_annotation	1
GVOGm1352	GTP binding translation elongation factor	2
GVOGm1378	DEAD/SNF2-like helicase | DEAD/SNF2-like helicase	1
