L1	ID	Function	EC	Count
integration and excision	phrog_1	integrase		82
DNA, RNA and nucleotide metabolism	phrog_10056	RecT-like ssDNA annealing protein		1
DNA, RNA and nucleotide metabolism	phrog_10276	DNA repair protein		12
unknown function	phrog_10277	hypothetical		214
DNA, RNA and nucleotide metabolism	phrog_10285	DNA polymerase		199
unknown function	phrog_1029	hypothetical		6
unknown function	phrog_10430	hypothetical		199
DNA, RNA and nucleotide metabolism	phrog_10616	ribonucleotide reductase		27
unknown function	phrog_10724	hypothetical		8
other	phrog_10912	kinase		56
moron, auxiliary metabolic gene and host takeover	phrog_1112	phosphoribosylaminoimidazole-succinocarboxamide synthase		51
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		93
other	phrog_11189	NAD synthetase		1
DNA, RNA and nucleotide metabolism	phrog_112	Gp2.5-like ssDNA binding protein and ssDNA annealing protein		87
unknown function	phrog_11354	hypothetical		362
unknown function	phrog_11383	hypothetical		26
unknown function	phrog_11396	hypothetical		789
head and packaging	phrog_115	minor head protein		89
unknown function	phrog_11530	hypothetical		45
unknown function	phrog_11626	hypothetical		17
unknown function	phrog_11769	hypothetical		6
other	phrog_11787	DNA methyltransferase		238
unknown function	phrog_11857	hypothetical		575
unknown function	phrog_11956	hypothetical		976
unknown function	phrog_1202	hypothetical		58
unknown function	phrog_12033	hypothetical		465
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		103
unknown function	phrog_1209	hypothetical		104
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		204
unknown function	phrog_12143	hypothetical		17
DNA, RNA and nucleotide metabolism	phrog_1227	exonuclease		87
other	phrog_12316	ATPase		792
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		244
DNA, RNA and nucleotide metabolism	phrog_1252	DNA polymerase		87
unknown function	phrog_1270	hypothetical		35
unknown function	phrog_12710	hypothetical		1022
unknown function	phrog_12787	hypothetical		192
tail	phrog_1293	tail length tape measure protein		1977
transcription regulation	phrog_130	anti-repressor Ant		101
