L1	L2	L3	L4	ID	Function	EC	Count
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	D-arginine and D-ornithine metabolism			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00003	hom; homoserine dehydrogenase	1.1.1.3	1
20_Hydrolysis of polymers	Starch			K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
20_Hydrolysis of polymers	Xylose			K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
01_Fermentation	Bifidobacterium shunt			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	8
01_Fermentation	Heterolactic fermentation			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	8
01_Fermentation	Homolactic fermentation			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	8
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	8
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	8
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	8
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	8
06_Amino acid utilization biosynthesis metabolism	Histidine degradation			K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1.1.1.31	1
01_Fermentation	Succinate fermentation to butyrate			K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	15
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	15
01_Fermentation	Heterolactic fermentation			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	59
21_Cellular response to stress	Cellular response to stress			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	59
01_Fermentation	Heterolactic fermentation			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	11
15_Methylotrophy	RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	11
21_Cellular response to stress	Cellular response to stress			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	11
20_Hydrolysis of polymers	Xylose			K00040	uxuB; fructuronate reductase	1.1.1.57	2
20_Hydrolysis of polymers	Xylose			K00041	uxaB; tagaturonate reductase	1.1.1.58	57
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1.1.1.85	11
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00053	ilvC; ketol-acid reductoisomerase	1.1.1.86	3
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	11
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Murein		K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	11
20_Hydrolysis of polymers	Xylose			K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	1.3.1.20 1.1.1.179	2
07_Nucleic acid metabolism	Purine metabolism			K00088	IMPDH, guaB; IMP dehydrogenase	1.1.1.205	33
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00108	betA, CHDH; choline dehydrogenase	1.1.99.1	4
21_Cellular response to stress	Response to osmotic stress			K00108	betA, CHDH; choline dehydrogenase	1.1.99.1	4
01_Fermentation	Acetylene degradation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	3
01_Fermentation	Heterolactic fermentation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	3
01_Fermentation	Mixed acid fermentation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	3
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	3
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	3
