ID	Function	Count
pVOG0050	dCMP deaminase	1
pVOG0052	RNA polymerase sigma factor	9
pVOG0058	PhoH-like phosphate starvation-inducible	5
pVOG0092	Thymidylate synthase	25
pVOG0186	exonuclease	4
pVOG0221	integrase	12
pVOG0226	Single-stranded DNA-binding protein	9
pVOG0274	Prophage bactoprenol glucosyl transferase 	10
pVOG0372	DNA ligase	11
pVOG0382	DNA topoisomerase II large subunit	6
pVOG0384	DNA gyrase subunit A	7
pVOG0420	Anaerobic ribonucleoside-triphosphate reductase	53
pVOG0440	Autonomous glycyl radical cofactor	4
pVOG0496	dihydrofolate reductase	7
pVOG0514	unannotated protein	12
pVOG0682	hypothetical protein	16
pVOG0705	FtsK/SpoIIIE-like protein	22
pVOG0800	unannotated protein	2
pVOG0985	ParA-like partition protein	4
pVOG10106	ribonucleoside-diphosphate reductase beta subunit	5
pVOG1030	thymidine kinase	4
pVOG1198	DNA polymerase	9
pVOG1279	hypothetical protein	1
pVOG1850	Multifunctional CCA protein	4
pVOG1915	head maturation protease	2
pVOG2406	hypothetical protein	4
pVOG3222	GTP cyclohydrolase	4
pVOG3235	GMP reductase	20
pVOG4125	Phosphoribosylformylglycinamidine cyclo-ligase	1
pVOG4552	anti-repressor Ant	5
pVOG4673	transcriptional regulator	3
pVOG4713	head-tail adaptor	7
pVOG4724	L-alanyl-D-glutamate peptidase	4
pVOG4772	Exo-glucosaminidase LytG	1
pVOG5707	lipoprotein precursor	1
pVOG6007	hypothetical protein	2
pVOG6513	60 kDa chaperonin	2
pVOG6988	hypothetical protein	14
pVOG7656	superinfection exclusion	9
pVOG8021	ATP-dependent Clp protease ATP-binding subunit ClpA	10
pVOG8303	S-adenosylmethionine synthase	10
pVOG8607	ribonucleotide reductase large subunit	9
pVOG8616	NH(3)-dependent NAD(+) synthetase	1
pVOG8908	Cold shock protein 1	12
pVOG8992	dTDP-4-dehydrorhamnose 3,5-epimerase	5
pVOG9502	amidase	14
