ID	Function	Source	Count
2A0118	RbtT/DalT/CsbX family MFS transporter	TIGR00897	2
2A0306	amino acid transporter	TIGR00909	1
2A51	chromate efflux transporter	TIGR00937	1
2a38	TrkH family potassium uptake protein	TIGR00933	4
3a0106s01	sulfate ABC transporter ATP-binding protein	TIGR00968	2
3a0107s01c2	phosphate ABC transporter ATP-binding protein PstB	TIGR00972	38
3a0107s02c	phosphate ABC transporter permease PstA	TIGR00974	5
3a0501s007	preprotein translocase subunit SecY	TIGR00967	16
3oxo_ACP_reduc	3-oxoacyl-[acyl-carrier-protein] reductase	TIGR01830	15
5S_RNA_mat_M5	ribonuclease M5	TIGR00334	7
5aminolev_synth	5-aminolevulinate synthase	TIGR01821	1
ABC_ABC_ChvD	energy-dependent translational throttle protein EttA	TIGR03719	5
ABC_MetN	methionine ABC transporter ATP-binding protein MetN	TIGR02314	9
ABC_arch_GlcV	glucose ABC transporter ATP-binding protein GlcV		1
ABC_choXWV_ATP	choline ABC transporter ATP-binding protein	TIGR03415	2
ABC_choXWV_perm	choline ABC transporter permease subunit	TIGR03416	5
ABC_lipo_SloC	metal ABC transporter substrate-binding lipoprotein		17
ABC_perm_SloB	metal ABC transporter permease subunit		35
ABC_phnC	phosphonate ABC transporter ATP-binding protein	TIGR02315	15
ATP_dep_HslV	HslU--HslV peptidase proteolytic subunit	TIGR03692	7
ATP_synt_c	ATP synthase F0 subunit C	TIGR01260	7
ATPase-IB1_Cu	copper-translocating P-type ATPase	TIGR01511	10
ATPase-IB2_Cd	cadmium family heavy metal-translocating P-type ATPase	TIGR01512	3
ATPase-IB_hvy	heavy metal translocating P-type ATPase	TIGR01525	38
ATPase-IIA1_Ca	calcium-translocating P-type ATPase, SERCA-type	TIGR01116	12
ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	TIGR01522	8
ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	TIGR01524	31
ATPase_ComGA	competence type IV pilus ATPase ComGA		10
ATPase_P-type	HAD-IC family P-type ATPase	TIGR01494	13
ATPsyn_F1gamma	ATP synthase F1 subunit gamma	TIGR01146	2
AcCoA-C-Actrans	acetyl-CoA C-acyltransferase	TIGR01930	5
AhpC	alkyl hydroperoxide reductase subunit C	TIGR03137	15
AhpF	alkyl hydroperoxide reductase subunit F	TIGR03140	1
AhpF_homolog	putative alkyl hydroperoxide reductase F subunit	TIGR03143	33
Asp_Ala_antiprt	aspartate-alanine antiporter	TIGR03802	1
AztA	zinc ABC transporter ATP-binding protein AztA		1
BCCP	acetyl-CoA carboxylase biotin carboxyl carrier protein	TIGR00531	8
BGL	GH1 family beta-glucosidase	TIGR03356	1
Bac_Flav_CT_G	TraG family conjugative transposon ATPase	TIGR03783	2
Bac_Flav_CT_K	conjugative transposon protein TraK	TIGR03781	1
C69_fam_dipept	C69 family dipeptidase		21
CBO2463_dom	CBO2463/CBO2479 domain-containing protein		5
CBS_CbpA	cyclic di-AMP binding protein CbpA		16
CBS_CbpB	cyclic-di-AMP-binding protein CbpB		2
CPSaseII_lrg	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit	TIGR01369	28
CPSaseIIsmall	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TIGR01368	14
C_S_lyase_PatB	PatB family C-S lyase	TIGR04350	1
ChvE	sugar ABC transporter substrate-binding protein		34
