sample_id	disease_status	breed	build	date	qpcr_16S_adj	qpcr_CC3_adj	qpcr_CC12_adj
BCMy_011	Healthy	461	Bld_13	2023-06-14	3.723654171	2	2
BCMy_021	Diseased	410	Bld_I	2023-06-10	5.35524161	2.267446757	4.649474476
BCMy_031	Diseased	401A	Bld_M	2023-06-14	4.862867904	2	4.28534738
BCMy_041	Diseased	400A	Bld_K	2023-06-03	4.736537932	2	4.303524626
BCMy_051	Healthy	461	Bld_K	2023-06-04	4.291163616	2	2
BCMy_061	Diseased	441	Bld_K	2023-06-10	5.149721849	4.178425388	3.357879935
BCMy_071	Healthy	400	Bld_H	2023-06-04	4.304893189	2	2
BCMy_081	Healthy	410	Bld_I	2023-06-10	4.260279519	2	2
BCMy_091	Healthy	441	Bld_L	2023-06-10	3.493282239	2	2
BCMy_101	Diseased	461	Bld_I	2023-06-14	5.156334374	2	4.456365975
BCMy_111	Diseased	495	Bld_E	2023-06-14	3.921766138	2	2.271252015
BCMy_121	Healthy	441	Bld_11	2023-06-10	4.040035415	2	2
BCMy_131	Diseased	499	Bld_21	2023-06-14	5.695237486	3.944635068	5.035768361
BCMy_141	Diseased	2250	Bld_12	2023-06-10	6.625393475	2.805871499	5.978607902
BCMy_151	Diseased	471	Bld_15	2023-06-14	5.69601659	2	4.94495934
BCMy_161	Healthy	400A	Bld_G	2023-06-14	4.449774141	2	2
BCMy_171	Healthy	495	Bld_5	2023-06-14	4.129385081	2	2
BCMy_181	Healthy	471	Bld_21	2023-06-10	4.059269035	2	2
BCMy_191	Diseased	461	Bld_K	2023-06-04	4.634260555	3.532013925	2
BCMy_201	Diseased	471	Bld_21	2023-06-10	5.875045165	2	5.153718611
BCMy_211	Diseased	401A	Bld_M	2023-06-14	4.510762717	3.246564868	3.923987825
BCMy_221	Healthy	471	Bld_5	2023-06-14	4.349774547	2.067043147	2
BCMy_231	Diseased	400	Bld_H	2023-06-14	4.298707429	2	3.091388328
BCMy_241	Healthy	495	Bld_E	2023-06-14	4.606492612	2	2
BCMy_251	Diseased	2250	Bld_12	2023-06-10	3.556056567	2	2.307916715
BCMy_261	Diseased	500	Bld_11	2023-06-14	3.183371524	2	2
BCMy_271	Healthy	441	Bld_N	2023-06-10	4.412874199	2	2
BCMy_281	Diseased	500	Bld_11	2023-06-14	3.390531545	2.197217588	2
BCMy_291	Healthy	400A	Bld_K	2023-06-03	3.140168336	2	2
BCMy_301	Diseased	499	Bld_21	2023-06-14	5.861155152	3.30595339	4.879548595
