sample_id	disease_status	breeder	builder	ABPV	BQCV	DWVA	IAPV	KBV	LSV1	SBV	DWVB	Mplut	Plarv	Napis	Ncera	Crithidia_Lotmaria
rQ-01	a_Healthy	461	Bld_13	2.417842198	4.636531813	3.0877588	2	2	3.132595833	2.593425215	2.35369123	2	2	2	2	2
rQ-02	b_Diseased	410	Bld_I	2	9.588586169	2.01285784	2	2	2.428074902	2.328318443	2	6.712267142	2	2	2	2
rQ-03	b_Diseased	401A	Bld_M	2	10.08693869	2.20310409	2	2	2.734675401	2.431105834	2	5.219651709	2.917664119	2.021305629	2	2
rQ-04	b_Diseased	400A	Bld_K	2	10.26445481	2.046260511	2	2	2.182454785	9.215605179	2	5.768621984	2	2	2	2
rQ-05	a_Healthy	461	Bld_K	2	4.930944545	2	2	2	2	2	2	2	2	2.735749192	2	2
rQ-06	b_Diseased	441	Bld_K	2	9.590474907	2	2	2	2	2	2.38463699	6.612470256	2	3.158388095	2	2
rQ-07	b_Diseased	400	Bld_H	2.240847104	10.63436245	2.67425932	2	2.238013372	2.879535451	2.759547285	2	5.521987498	3.084689576	2	2	2
rQ-08	a_Healthy	410	Bld_I	2	5.861564157	2.272354979	2	2.088623203	2.236181239	3.121141874	2.214681648	2.311711423	2.8118111	2.011304887	2	2
rQ-09	a_Healthy	441	Bld_L	2	5.453920518	2.519660742	2	2	2.682727685	2.643560971	2.174822894	2	2	2	2	2
rQ-10	b_Diseased	461	Bld_I	2	6.161451528	2	2	2	2	2	2	6.674466988	2.286038388	3.066679863	2.1201251	2
rQ-11	a_Healthy	495	Bld_E	2	5.563941955	2	2	2	2	2	2	4.625188282	2.895123876	2.597297594	2	2
rQ-12	a_Healthy	441	Bld_11	2	4.624103224	2.787711042	2	2	2	2.502406457	2	2	2	2	2	2
rQ-13	b_Diseased	499	Bld_21	2	10.18287479	3.047814577	2	2.456233678	2.933053372	2.089563844	2	6.618709182	2.930886438	2.143223142	2	2
rQ-14	b_Diseased	2250	Bld_12	2	8.65399237	2	2	2	2	2	7.545175391	6.08499653	2	2.909877772	2	2
rQ-15	b_Diseased	471	Bld_15	2.199384091	8.012915155	3.779878087	2	3.257869067	3.517069025	3.164889266	3.389365486	6.534822934	2.156813033	2.194571524	2	2
rQ-16	a_Healthy	400A	Bld_G	2	9.420679378	2	2	2	2	2	4.100413518	4.291437974	2	3.342632579	2	2
rQ-17	a_Healthy	495	Bld_5	2	9.410811513	2	2	2	2	2	2	5.268884113	3.085065745	2.93114564	2.667885595	2
rQ-18	a_Healthy	471	Bld_21	2	6.082313802	2.242891801	2	2	2.481190208	2.662202797	2	5.024655667	3.077614253	2	2	2
rQ-19	a_Healthy	461	Bld_K	2	5.79267228	2	2	2	2	2	2	3.079647319	2.701171833	2.951126596	2	2
rQ-20	b_Diseased	471	Bld_21	2	9.807557767	2	2	2	2	2	2.431555451	6.160002631	2.687198735	3.001367671	2.014800535	2
rQ-21	a_Healthy	401A	Bld_M	2	6.748311091	2.622009384	2	2	2.466725535	2.441491199	2.000474305	2	2	2	2	2
rQ-22	a_Healthy	471	Bld_5	2	6.32087588	2	2	2	2	2	2	4.236491425	2	3.238812218	2	2
rQ-23	b_Diseased	400	Bld_H	2	10.08469654	2	2	2	2	2	2.311771464	5.938884733	3.274928508	3.190901368	2	2
rQ-24	b_Diseased	495	Bld_E	2	10.11666577	2	2	2	2	2	2	5.913250285	2.636879081	2.88832435	2	2
rQ-25	b_Diseased	2250	Bld_12	2	9.798939737	2.43546284	2	2	2.454965629	2.01833668	2.747778227	6.671691209	2.388554878	3.458007856	2.693723814	2
rQ-26	b_Diseased	500	Bld_11	2	9.696380749	2	2	2	2.045235454	2	2	5.444148928	2.729432816	3.120298536	2	2
rQ-27	b_Diseased	441	Bld_N	2	9.754167585	2.285523595	2	2	2	2	2	6.663139379	2.51816746	2.897656893	2	2
rQ-28	b_Diseased	500	Bld_11	2	10.90121563	3.569792071	2	2.91536026	3.355056126	3.082368868	3.709252448	6.499252822	2	3.516046974	2.370125794	2
rQ-29	a_Healthy	400A	Bld_K	2	6.022230371	2	2	2	2	2	2	3.348328996	2	3.106315731	2.379594295	2
rQ-30	b_Diseased	499	Bld_21	2	5.220430932	2.314737975	2	2	2	2	2.247051466	6.387246676	2.659614184	3.354414193	3.044561251	2
