,realm,rank,Clustering-wise PPV,Clustering-wise Sensitivity,Clustering-wise Accuracy,Clustering-wise Separation,Complex-wise Separation,Separation,Adjusted Rand Index (ARI),Normalized Mutual Info Score (NMI),Compo Score
0,Adnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
1,Adnaviria,phylum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2,Adnaviria,class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
3,Adnaviria,order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
4,Adnaviria,family,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
5,Adnaviria,subfamily,1.0,0.6,0.7745966692414834,0.25,1.0,0.5,0.42298850574712643,0.0,2.3745966692414835
6,Adnaviria,genus,0.9338235294117647,0.9615384615384616,0.9475796746548569,0.9338235294117647,0.5746606334841629,0.7325514459573345,0.7586206896551724,0.7408117801605547,2.842941665605083
7,Duplodnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
8,Duplodnaviria,phylum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
9,Duplodnaviria,class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
10,Duplodnaviria,order,0.920875420875421,0.9879949576465876,0.9538449939301432,0.7551537690496938,0.9061845228596328,0.8272295073871277,0.9976407495066614,0.9074594903243717,2.8627153724521515
11,Duplodnaviria,family,0.9714752732479098,0.9801228661235241,0.9757894901995384,0.8580779123757676,0.9634559016148969,0.9092415678596221,0.9704597558538205,0.9302964011904982,2.927387629570972
12,Duplodnaviria,subfamily,0.8537368528887531,0.9952829130996446,0.9217969960699812,0.8321060175777305,0.7053089101373146,0.7660886295830596,0.9099030652015191,0.856825021494856,2.770816762058379
13,Duplodnaviria,genus,0.9705225126845971,0.9961530464260664,0.9832542690656584,0.9851102587088717,0.9067578597536488,0.9451224628629984,0.9984634915303332,0.9859060114233934,2.949929828176322
14,Monodnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
15,Monodnaviria,phylum,0.6,1.0,0.7745966692414834,0.9999999999999999,0.3333333333333333,0.5773502691896257,0.44303586321934946,0.0,2.3745966692414835
16,Monodnaviria,class,0.6,1.0,0.7745966692414834,1.0,0.3333333333333333,0.5773502691896257,0.44303586321934946,0.0,2.3745966692414835
17,Monodnaviria,order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
18,Monodnaviria,family,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
19,Monodnaviria,subfamily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
20,Monodnaviria,genus,0.9959349593495935,0.9969512195121951,0.9964429598719666,0.9933943089430896,0.9933943089430896,0.9933943089430896,0.997998331943286,0.9923552916654964,2.9893291387337553
21,Riboviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
22,Riboviria,phylum,0.65,1.0,0.806225774829855,1.0,0.5,0.7071067811865476,0.5210526315789473,0.0,2.4562257748298553
23,Riboviria,class,0.65,1.0,0.806225774829855,1.0,0.5,0.7071067811865476,0.5210526315789473,0.0,2.4562257748298553
24,Varidnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
25,Varidnaviria,phylum,0.7333333333333333,1.0,0.8563488385776752,1.0,0.5,0.7071067811865476,0.5954022988505747,0.0,2.5896821719110084
26,Varidnaviria,class,0.7,1.0,0.8366600265340756,1.0,0.3333333333333333,0.5773502691896257,0.5471264367816092,0.0,2.5366600265340757
27,Varidnaviria,order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
28,Varidnaviria,family,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
29,Varidnaviria,subfamily,1.0,0.4,0.6324555320336759,0.125,1.0,0.3535533905932738,0.19770114942528735,0.0,2.032455532033676
30,Varidnaviria,genus,0.9807692307692307,0.9615384615384616,0.9711062440732767,0.9519230769230769,0.9519230769230769,0.9519230769230769,0.9908045977011494,0.9748603446985369,2.913413936380969
