feature	metadata	value	coef	stderr	pval	qval	N	N.not.zero	module	class
M00001	disease_status	Healthy	1.0276450106376342	0.2926346621948002	0.005615698609815252	0.04984550511081083	12	7	M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00002	disease_status	Healthy	1.0298942680899597	0.23957933222230035	0.0015644868783897532	0.03248842103636595	12	7	M00002: Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00003	disease_status	Healthy	0.9421060949731438	0.25097212005143416	0.003760089574815599	0.04516760082668877	12	6	M00003: Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00004	disease_status	Healthy	1.0331902098170107	0.26112733187725407	0.0027010363487404826	0.038525016875261865	12	8	M00004: Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00005	disease_status	Healthy	0.11218256596301208	0.30757429503798556	0.7229056614278495	0.8637314396280799	12	11	M00005: PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00006	disease_status	Healthy	-0.04972538663344981	0.32231109536366587	0.8804600557146988	0.9492459975674096	12	11	M00006: Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00007	disease_status	Healthy	0.8177651677793152	0.27551421920759794	0.014090534602026238	0.07777975100318482	12	5	M00007: Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00008	disease_status	Healthy	-0.31718642803657937	0.3018588991112285	0.3180907667854091	0.5386076787286682	12	11	M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00009	disease_status	Healthy	0.7231009463400391	0.325373624311674	0.05049124631646818	0.17419479979181524	12	4	M00009: Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00010	disease_status	Healthy	0.09959677751373414	0.31473136357189463	0.7581677184283216	0.8857909973234801	12	11	M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00011	disease_status	Healthy	0.2951786430306112	0.39792279680453196	0.4752705898581532	0.6526103621932849	12	5	M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
M00012	disease_status	Healthy	-0.08919031326561978	0.37635462392430835	0.8174527957781774	0.9172025277958658	12	10	M00012: Glyoxylate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00013	disease_status	Healthy	0.6853866481455212	0.3460487833102357	0.07579608772018623	0.21566721866774638	12	3	M00013: Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00014	disease_status	Healthy	0.9513421663655715	0.23842495520315238	0.0025588382352195052	0.038525016875261865	12	5	M00014: Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00015	disease_status	Healthy	-0.2019435563721738	0.35493965027023	0.5819410660416695	0.7497729486135465	12	10	M00015: Proline biosynthesis, glutamate => proline	Pathway modules; Amino acid metabolism; Arginine and proline metabolism
M00016	disease_status	Healthy	1.238655571865724	0.314676885941635	0.0027916678895117293	0.038525016875261865	12	4	M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism
M00017	disease_status	Healthy	0.9438068563608667	0.32259733709177585	0.015153186996758508	0.08200548257069311	12	4	M00017: Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
M00018	disease_status	Healthy	0.6411170155595584	0.2899965389700195	0.05149306937357742	0.17532580623894303	12	6	M00018: Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism
M00019	disease_status	Healthy	0.02819233294403696	0.2942652312041859	0.9255675144076807	0.9825255152943072	12	11	M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism
M00020	disease_status	Healthy	-0.6418940562528513	0.38180556471991	0.12363908555229938	0.3028681725261932	12	9	M00020: Serine biosynthesis, glycerate-3P => serine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism
M00021	disease_status	Healthy	-0.8375927288875663	0.375436398499894	0.049759348640593976	0.17384278765574604	12	8	M00021: Cysteine biosynthesis, serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
M00022	disease_status	Healthy	-0.19461077263116572	0.318689680718062	0.55504963448261	0.736508168832694	12	11	M00022: Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
M00023	disease_status	Healthy	-0.37502939624640325	0.3488306202205256	0.30758299315429766	0.5272851311216531	12	10	M00023: Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
M00024	disease_status	Healthy	-0.1246430396718571	0.31416792069689986	0.6998938056059193	0.8547375679081137	12	11	M00024: Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
M00025	disease_status	Healthy	-0.07568363308954011	0.31299743869882235	0.8138193977656136	0.9172025277958658	12	11	M00025: Tyrosine biosynthesis, chorismate => HPP => tyrosine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
M00026	disease_status	Healthy	0.4550824178912713	0.2577948862363052	0.10797425951279555	0.28381805357649115	12	2	M00026: Histidine biosynthesis, PRPP => histidine	Pathway modules; Amino acid metabolism; Histidine metabolism
M00027	disease_status	Healthy	-0.06602142020471252	0.3635692176690758	0.8595306081201717	0.9413906660363786	12	10	M00027: GABA (gamma-Aminobutyrate) shunt	Pathway modules; Amino acid metabolism; Other amino acid metabolism
M00028	disease_status	Healthy	-0.4217739683997321	0.3069595561583316	0.1994420238680618	0.40774813768581525	12	11	M00028: Ornithine biosynthesis, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism
M00029	disease_status	Healthy	1.0406560346641585	0.21316128312779167	6.400375572160546e-4	0.018964407511750745	12	6	M00029: Urea cycle	Pathway modules; Amino acid metabolism; Arginine and proline metabolism
M00030	disease_status	Healthy	0.5183055109225796	0.36707527661011013	0.1883064749105849	0.3907713313933942	12	4	M00030: Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism
M00031	disease_status	Healthy	0.49222290765122406	0.32494803858347915	0.16077883340231622	0.35218220650031173	12	4	M00031: Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism
M00032	disease_status	Healthy	-0.3768693947912369	0.3973324619048773	0.36523357868042916	0.5667073400613658	12	9	M00032: Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	Pathway modules; Amino acid metabolism; Lysine metabolism
M00033	disease_status	Healthy	0.7527528992366861	0.24208334408767698	0.011070509404148833	0.07327034006779719	12	11	M00033: Ectoine biosynthesis, aspartate => ectoine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism
M00034	disease_status	Healthy	0.7026388514400829	0.290683341430998	0.03623484557344056	0.14493938229376224	12	3	M00034: Methionine salvage pathway	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
M00035	disease_status	Healthy	0.8073038217763516	0.35474180067346633	0.0461176665671368	0.16318558939140712	12	3	M00035: Methionine degradation	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
M00036	disease_status	Healthy	0.11589577686473154	0.29712878721694674	0.7046768381637982	0.8549583239612303	12	11	M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism
M00039	disease_status	Healthy	-1.4171324838853563	0.15139936087800315	2.9037580131922867e-6	2.0035930291026778e-4	12	6	M00039: Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
M00040	disease_status	Healthy	-0.5192667372973276	0.3854992236529146	0.20771109625546083	0.4184544712883737	12	10	M00040: Tyrosine biosynthesis, chorismate => arogenate => tyrosine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
M00044	disease_status	Healthy	-0.3420021049805051	0.3643709647216221	0.37004801020158407	0.5682072597922986	12	10	M00044: Tyrosine degradation, tyrosine => homogentisate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
M00045	disease_status	Healthy	0.16502694145051022	0.39402277544586717	0.6841969969032156	0.8468088392165358	12	6	M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	Pathway modules; Amino acid metabolism; Histidine metabolism
M00046	disease_status	Healthy	0.7060680964387563	0.24598367967917184	0.016657717562844915	0.0861796349855333	12	1	M00046: Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
M00048	disease_status	Healthy	0.52538997486196	0.30850310896793404	0.11938702416875362	0.2968542222574414	12	5	M00048: De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism
M00049	disease_status	Healthy	0.5879033593897642	0.31752910996916545	0.0938149816392549	0.2615447972973167	12	6	M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism
M00050	disease_status	Healthy	0.25505142899475247	0.3553526789524909	0.48934409513868227	0.6653151244250064	12	2	M00050: Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism
M00051	disease_status	Healthy	1.0396525107926438	0.23569424501951455	0.0013123308126306414	0.03248842103636595	12	7	M00051: De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
M00052	disease_status	Healthy	-0.08485651600712929	0.2860719582703266	0.7728210800809715	0.8924628372483184	12	11	M00052: Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
M00053	disease_status	Healthy	-0.6432669729816679	0.3700817685232217	0.11281660649963753	0.2904935685050801	12	9	M00053: Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	Pathway modules; Nucleotide metabolism; Purine metabolism
M00060	disease_status	Healthy	-0.44117177460922646	0.357343704092789	0.24520797693305216	0.4593316606133108	12	10	M00060: KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
M00061	disease_status	Healthy	0.2799551040286836	0.35755343514856497	0.45178617825187783	0.6265979155654186	12	6	M00061: D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00063	disease_status	Healthy	-0.6596388788195098	0.4005079209576097	0.13057750948185073	0.30952246790842575	12	9	M00063: CMP-KDO biosynthesis	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
M00064	disease_status	Healthy	-0.18308670800700125	0.4259142966597676	0.67640764738816	0.840939237293388	12	8	M00064: ADP-L-glycero-D-manno-heptose biosynthesis	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
M00066	disease_status	Healthy	-0.8771199203710623	0.4035147896341753	0.05482618975265049	0.1796452766538792	12	4	M00066: Lactosylceramide biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism
M00076	disease_status	Healthy	1.1322656452558288	0.31609924709785797	0.004995115887360283	0.04984550511081083	12	3	M00076: Dermatan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
M00077	disease_status	Healthy	1.1263254402993121	0.3213913329473066	0.005683339128992658	0.04984550511081083	12	3	M00077: Chondroitin sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
M00078	disease_status	Healthy	0.7307915552781297	0.2415803660149945	0.01278483827374509	0.07351282007403427	12	1	M00078: Heparan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
M00079	disease_status	Healthy	-0.587959806844495	0.3927756448943691	0.16529004889840732	0.35921301965323166	12	8	M00079: Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
M00081	disease_status	Healthy	-1.216950723189357	0.28642142725181907	0.0016926810649767992	0.03248842103636595	12	7	M00081: Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00082	disease_status	Healthy	0.8601931984612868	0.39029204316102156	0.05208955112896134	0.17532580623894303	12	6	M00082: Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism
M00083	disease_status	Healthy	0.8836875735715649	0.26779064224593235	0.008014587137966149	0.06256116951754297	12	4	M00083: Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism
M00086	disease_status	Healthy	0.0953292985862384	0.4618352702220588	0.84060951993917	0.9393045647903276	12	7	M00086: beta-Oxidation, acyl-CoA synthesis	Pathway modules; Lipid metabolism; Fatty acid metabolism
M00087	disease_status	Healthy	-0.3875690988162999	0.35423641860879185	0.29956551837349565	0.5200005224596529	12	9	M00087: beta-Oxidation	Pathway modules; Lipid metabolism; Fatty acid metabolism
M00088	disease_status	Healthy	-0.05855905813918958	0.2977741019857886	0.8480359755780834	0.9393067810212933	12	11	M00088: Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	Pathway modules; Lipid metabolism; Lipid metabolism
M00089	disease_status	Healthy	-0.39058349849137813	0.4249532922543749	0.3796686659019517	0.570301920415607	12	9	M00089: Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism
M00090	disease_status	Healthy	0.4465913611753153	0.34210498852027427	0.220984113764574	0.43256464822001717	12	2	M00090: Phosphatidylcholine (PC) biosynthesis, choline => PC	Pathway modules; Lipid metabolism; Lipid metabolism
M00091	disease_status	Healthy	-0.5322862878677544	0.40516235284903535	0.21826703211379006	0.43256464822001717	12	3	M00091: Phosphatidylcholine (PC) biosynthesis, PE => PC	Pathway modules; Lipid metabolism; Lipid metabolism
M00093	disease_status	Healthy	-0.2553863954723003	0.35064997309295026	0.48312227161710053	0.6601076582491077	12	10	M00093: Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules; Lipid metabolism; Lipid metabolism
