scaffold	total genes	all KEGG	KEGG v-score	all Pfam	Pfam v-score	all VOG	VOG v-score	KEGG int-rep	KEGG zero	Pfam int-rep	Pfam zero	VOG redoxin	VOG rec-tran	VOG int	VOG RnR	VOG DNA	KEGG restriction check	KEGG toxin check	VOG special	annotation check	p_v check	p_k check	k_v check	k check	p check	v check	h check
GCA_025728675___contig_21	5.0	0.0	0.0	3.0	9.26	3.0	5.200000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0
MP_ONT81___contig_3	17.0	5.0	3.9000000000000004	6.0	4.1	5.0	16.2	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	3.0	1.0	8.0
GCA_025728595___contig_11	30.0	5.0	12.499999999999998	11.0	24.599999999999998	22.0	123.91000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	3.0	8.0	0.0	2.0	0.0	0.0	9.0	8.0
GCA_025728675___contig_22_fragment_4	20.0	4.0	2.9299999999999997	9.0	10.08	11.0	42.43	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	5.0	2.0	0.0	0.0	0.0	4.0	7.0
GCA_025728615___contig_1_fragment_4	10.0	4.0	5.719999999999999	6.0	6.809999999999999	6.0	22.189999999999998	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	1.0	1.0	2.0
MP_QEQMy132961___contig_1_fragment_7	27.0	5.0	2.9299999999999997	11.0	12.08	14.0	47.089999999999996	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	7.0	2.0	0.0	1.0	0.0	5.0	10.0
MP_QEQMy132961___contig_1_fragment_10	71.0	11.0	27.33	27.0	62.019999999999996	35.0	156.35000000000002	4.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	9.0	9.0	17.0	1.0	1.0	0.0	0.0	8.0	35.0
MP_BCQMy206___contig_1_fragment_3	43.0	6.0	18.84	15.0	39.51	27.0	144.24000000000004	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	10.0	5.0	10.0	0.0	1.0	0.0	0.0	11.0	16.0
MP_BCQMy206___contig_1_fragment_5	60.0	11.0	25.58	27.0	59.9	33.0	144.5	5.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	11.0	9.0	17.0	1.0	1.0	0.0	0.0	6.0	26.0
MP_BCQMy206___contig_1_fragment_11	62.0	8.0	23.47	21.0	56.98	30.0	135.27	4.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	10.0	7.0	14.0	0.0	1.0	0.0	0.0	8.0	32.0
MP_BCQMy206___contig_1_fragment_12	24.0	4.0	2.9299999999999997	11.0	12.08	13.0	46.91000000000001	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	7.0	2.0	0.0	0.0	0.0	4.0	9.0
MP_BCQMy206___contig_1_fragment_14	52.0	7.0	19.47	17.0	46.82	31.0	169.58999999999997	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	10.0	6.0	10.0	0.0	1.0	0.0	1.0	14.0	20.0
MP_ONT63___contig_3	17.0	5.0	3.9000000000000004	6.0	4.1	5.0	16.2	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	3.0	1.0	8.0
MP_ONT141___contig_3	17.0	5.0	3.9000000000000004	6.0	4.1	5.0	16.2	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	3.0	1.0	8.0
MP_BCQMy206___contig_3	17.0	5.0	3.9000000000000004	6.0	4.1	5.0	16.2	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	3.0	1.0	8.0
MP_QEQMy133751___contig_3	18.0	5.0	3.9000000000000004	6.0	4.1	5.0	16.2	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	3.0	1.0	9.0
GCA_001047555___contig_9_fragment_1	27.0	5.0	2.9299999999999997	11.0	12.08	14.0	47.09	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	7.0	2.0	0.0	1.0	0.0	5.0	10.0
GCA_001047465___contig_12_fragment_1	27.0	5.0	2.9299999999999997	11.0	12.08	14.0	47.09	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	7.0	2.0	0.0	1.0	0.0	5.0	10.0
MP_LCAL0054___contig_1_fragment_3	43.0	6.0	18.84	15.0	39.51	27.0	144.24000000000004	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	10.0	5.0	10.0	0.0	1.0	0.0	0.0	11.0	16.0
MP_LCAL0054___contig_1_fragment_5	60.0	11.0	25.58	27.0	59.9	33.0	144.5	5.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	11.0	9.0	17.0	1.0	1.0	0.0	0.0	6.0	26.0
MP_LCAL0054___contig_1_fragment_7	52.0	10.0	20.47	23.0	38.18	34.0	155.20000000000002	3.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	14.0	7.0	15.0	0.0	2.0	1.0	1.0	10.0	16.0
MP_LCAL0054___contig_1_fragment_12	54.0	7.0	21.22	20.0	54.269999999999996	28.0	128.66000000000003	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	10.0	6.0	14.0	0.0	1.0	0.0	0.0	7.0	26.0
MP_LCAL0054___contig_1_fragment_13	24.0	4.0	2.9299999999999997	11.0	12.08	13.0	46.91000000000001	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	7.0	2.0	0.0	0.0	0.0	4.0	9.0
