protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
GCA_025728675___contig_22_fragment_4_230	GCA_025728675___contig_22_fragment_4	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_025728615___contig_1_fragment_4_286	GCA_025728615___contig_1_fragment_4	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
MP_QEQMy132961___contig_1_fragment_7_573	MP_QEQMy132961___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
MP_QEQMy132961___contig_1_fragment_7_574	MP_QEQMy132961___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BCQMy206___contig_1_fragment_5_449	MP_BCQMy206___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy206___contig_1_fragment_12_1208	MP_BCQMy206___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047555___contig_9_fragment_1_95	GCA_001047555___contig_9_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047555___contig_9_fragment_1_96	GCA_001047555___contig_9_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
GCA_001047465___contig_12_fragment_1_95	GCA_001047465___contig_12_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_001047465___contig_12_fragment_1_96	GCA_001047465___contig_12_fragment_1	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]		
MP_LCAL0054___contig_1_fragment_5_449	MP_LCAL0054___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_LCAL0054___contig_1_fragment_7_675	MP_LCAL0054___contig_1_fragment_7	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
MP_LCAL0054___contig_1_fragment_13_1253	MP_LCAL0054___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
GCA_000283975___contig_1_fragment_5_530	GCA_000283975___contig_1_fragment_5	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_ATCC35311___contig_1_fragment_7_573	MP_ATCC35311___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BCQMy204___contig_1_fragment_5_449	MP_BCQMy204___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy204___contig_1_fragment_12_1209	MP_BCQMy204___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	PF13229.6	Right handed beta helix region
MP_BCQMy225___contig_1_fragment_5_449	MP_BCQMy225___contig_1_fragment_5	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
