protein	id	evalue	score
GCA_003462485___contig_1_fragment_3_214	PF02901.15	9.599999999999995e-195	644.8
MP_QEQMy132961___contig_1_fragment_14_1416	PF13597.6	6.499999999999999e-182	602.0
MP_BCQMy206___contig_1_fragment_4_356	PF13597.6	6.499999999999999e-182	602.0
GCA_001047595___contig_7_fragment_1_58	PF13597.6	6.499999999999999e-182	602.0
GCA_025728615___contig_1_fragment_2_29	PF13597.6	6.499999999999999e-182	602.0
GCA_001047455___contig_3_fragment_3_346	PF13597.6	6.499999999999999e-182	602.0
MP_ONT81___contig_3_5	PF07564.11	5.9999999999999974e-173	557.3
MP_QEQMy132961___contig_1_fragment_4_445	PF00476.20	7.599999999999998e-157	518.0
GCA_025728675___contig_49_fragment_2_80	PF05833.11	1.8999999999999996e-150	497.4
GCA_014202715___contig_6_fragment_1_85	PF05833.11	1.8999999999999996e-150	497.4
MP_BCQMy206___contig_1_fragment_8_928	PF05833.11	1.8999999999999996e-150	497.4
GCA_003462485___contig_1_fragment_3_213	PF00521.20	4.699999999999999e-150	496.0
MP_QEQMy132961___contig_1_fragment_9_813	PF05833.11	4.699999999999998e-149	492.8
MP_BCQMy206___contig_1_fragment_15_1531	PF02867.15	1.0999999999999999e-139	462.1
GCA_025728695___contig_67_fragment_1_16	PF02867.15	1.0999999999999999e-139	462.1
GCA_025728595___contig_13_fragment_1_179	PF02867.15	1.0999999999999999e-139	462.1
MP_BCQMy206___contig_1_fragment_14_1470	PF10926.8	3.999999999999999e-135	446.6
MP_QEQMy132961___contig_1_fragment_11_1039	PF06418.14	2.3999999999999992e-132	436.0
GCA_001047595___contig_7_fragment_4_431	PF06418.14	2.3999999999999992e-132	436.0
GCA_001047455___contig_3_fragment_5_723	PF06418.14	2.3999999999999992e-132	436.0
MP_BCQMy206___contig_1_fragment_2_75	PF02595.15	3.399999999999999e-127	420.3
MP_BCQMy223___contig_2_fragment_2_99	PF17389.2	3.799999999999999e-125	413.5
GCA_001047555___contig_1_fragment_3_102	PF17389.2	9.199999999999999e-125	412.2
GCA_000270185___contig_2_fragment_2_62	PF17389.2	3.6999999999999995e-124	410.2
GCA_003462485___contig_1_fragment_3_224	PF06166.12	9.299999999999998e-122	401.9
MP_QEQMy132961___contig_1_fragment_15_1640	PF10022.9	4.9999999999999994e-120	396.6
GCA_001047595___contig_7_fragment_2_107	PF03668.15	7.599999999999999e-113	372.3
GCA_001047595___contig_7_fragment_2_108	PF01933.18	1.5999999999999996e-99	328.7
