scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
GCA_025728675___contig_22	GCA_025728675___contig_22_fragment_4	222	241	20	260816	279632	18817
GCA_025728615___contig_1	GCA_025728615___contig_1_fragment_4	286	295	10	333498	339997	6500
MP_QEQMy132961___contig_1	MP_QEQMy132961___contig_1_fragment_7	566	592	27	602927	624593	21667
MP_QEQMy132961___contig_1	MP_QEQMy132961___contig_1_fragment_10	888	958	71	943417	986906	43490
MP_BCQMy206___contig_1	MP_BCQMy206___contig_1_fragment_3	287	329	43	331777	363640	31864
MP_BCQMy206___contig_1	MP_BCQMy206___contig_1_fragment_5	447	506	60	498045	538213	40169
MP_BCQMy206___contig_1	MP_BCQMy206___contig_1_fragment_11	1115	1176	62	1252447	1289978	37532
MP_BCQMy206___contig_1	MP_BCQMy206___contig_1_fragment_12	1192	1215	24	1310977	1332779	21803
MP_BCQMy206___contig_1	MP_BCQMy206___contig_1_fragment_14	1430	1481	52	1590913	1626451	35539
GCA_001047555___contig_9	GCA_001047555___contig_9_fragment_1	77	103	27	78275	99941	21667
GCA_001047465___contig_12	GCA_001047465___contig_12_fragment_1	77	103	27	78275	99941	21667
MP_LCAL0054___contig_1	MP_LCAL0054___contig_1_fragment_3	287	329	43	333403	365266	31864
MP_LCAL0054___contig_1	MP_LCAL0054___contig_1_fragment_5	447	506	60	499671	539911	40241
MP_LCAL0054___contig_1	MP_LCAL0054___contig_1_fragment_7	675	726	52	740206	777305	37100
MP_LCAL0054___contig_1	MP_LCAL0054___contig_1_fragment_12	1168	1221	54	1291883	1326477	34595
MP_LCAL0054___contig_1	MP_LCAL0054___contig_1_fragment_13	1237	1260	24	1347476	1369278	21803
GCA_000283975___contig_1	GCA_000283975___contig_1_fragment_5	523	547	25	594161	615964	21804
MP_ATCC35311___contig_1	MP_ATCC35311___contig_1_fragment_7	566	591	26	603461	625127	21667
MP_ATCC35311___contig_1	MP_ATCC35311___contig_1_fragment_8	607	665	59	643330	677916	34587
GCA_001047435___contig_4	GCA_001047435___contig_4_fragment_1	12	81	70	13206	56696	43491
MP_BCQMy204___contig_1	MP_BCQMy204___contig_1_fragment_3	287	329	43	331777	363640	31864
MP_BCQMy204___contig_1	MP_BCQMy204___contig_1_fragment_5	447	506	60	498045	538213	40169
MP_BCQMy204___contig_1	MP_BCQMy204___contig_1_fragment_11	1116	1177	62	1252247	1289778	37532
MP_BCQMy204___contig_1	MP_BCQMy204___contig_1_fragment_12	1193	1216	24	1310777	1332579	21803
MP_BCQMy204___contig_1	MP_BCQMy204___contig_1_fragment_14	1431	1482	52	1590711	1626249	35539
MP_BCQMy225___contig_1	MP_BCQMy225___contig_1_fragment_3	287	329	43	333403	365266	31864
MP_BCQMy225___contig_1	MP_BCQMy225___contig_1_fragment_5	447	506	60	499671	540178	40508
MP_BCQMy225___contig_1	MP_BCQMy225___contig_1_fragment_11	1118	1179	62	1254685	1292216	37532
MP_BCQMy225___contig_1	MP_BCQMy225___contig_1_fragment_12	1195	1218	24	1313215	1335017	21803
MP_BCQMy225___contig_1	MP_BCQMy225___contig_1_fragment_14	1433	1479	47	1593404	1628072	34669
GCA_001047525___contig_5	GCA_001047525___contig_5_fragment_1	12	81	70	13206	56696	43491
GCA_001047515___contig_15	GCA_001047515___contig_15_fragment_2	33	59	27	26032	47698	21667
GCA_001047515___contig_15	GCA_001047515___contig_15_fragment_3	74	134	61	65902	100466	34565
GCA_000747585___contig_1	GCA_000747585___contig_1_fragment_8	1078	1147	70	1167063	1210553	43491
GCA_000747585___contig_1	GCA_000747585___contig_1_fragment_11	1446	1472	27	1529229	1550895	21667
GCA_025728645___contig_1	GCA_025728645___contig_1_fragment_4	340	382	43	393412	426415	33004
GCA_001047545___contig_10	GCA_001047545___contig_10_fragment_1	76	103	28	78275	99941	21667
GCA_001047435___contig_7	GCA_001047435___contig_7_fragment_1	77	103	27	78274	99940	21667
GCA_001047545___contig_7	GCA_001047545___contig_7_fragment_1	12	81	70	13206	56696	43491
GCA_003966875___contig_1	GCA_003966875___contig_1_fragment_4	503	526	24	595779	617581	21803
GCA_001047595___contig_10	GCA_001047595___contig_10_fragment_2	60	120	61	60747	95314	34568
GCA_001047595___contig_10	GCA_001047595___contig_10_fragment_3	135	160	26	113518	135184	21667
GCA_014202715___contig_2	GCA_014202715___contig_2_fragment_5	292	318	27	306398	328064	21667
GCA_014202715___contig_2	GCA_014202715___contig_2_fragment_6	334	392	59	346267	380853	34587
MP_BCQMy205___contig_1	MP_BCQMy205___contig_1_fragment_3	287	329	43	331777	363640	31864
MP_BCQMy205___contig_1	MP_BCQMy205___contig_1_fragment_5	447	506	60	498045	538213	40169
MP_BCQMy205___contig_1	MP_BCQMy205___contig_1_fragment_11	1114	1175	62	1251821	1289352	37532
MP_BCQMy205___contig_1	MP_BCQMy205___contig_1_fragment_12	1191	1214	24	1310351	1332153	21803
MP_BCQMy205___contig_1	MP_BCQMy205___contig_1_fragment_14	1429	1480	52	1590285	1625823	35539
GCA_025728635___contig_1	GCA_025728635___contig_1_fragment_4	341	383	43	393737	426740	33004
GCA_001047455___contig_5	GCA_001047455___contig_5_fragment_1	76	103	28	78275	99941	21667
GCA_009731445___contig_1	GCA_009731445___contig_1_fragment_6	789	859	71	871507	914996	43490
GCA_009731445___contig_1	GCA_009731445___contig_1_fragment_9	1156	1182	27	1233581	1255247	21667
MP_LCAL0064___contig_1	MP_LCAL0064___contig_1_fragment_3	287	329	43	333403	365266	31864
MP_LCAL0064___contig_1	MP_LCAL0064___contig_1_fragment_5	447	506	60	499671	539911	40241
MP_LCAL0064___contig_1	MP_LCAL0064___contig_1_fragment_7	675	726	52	740206	777305	37100
MP_LCAL0064___contig_1	MP_LCAL0064___contig_1_fragment_12	1168	1221	54	1291883	1326477	34595
MP_LCAL0064___contig_1	MP_LCAL0064___contig_1_fragment_13	1237	1260	24	1347476	1369278	21803
GCA_004001205___contig_1	GCA_004001205___contig_1_fragment_11	1342	1399	58	1470066	1504039	33974
GCA_004001205___contig_1	GCA_004001205___contig_1_fragment_12	1415	1440	26	1522842	1544508	21667
GCA_025728675___contig_42	GCA_025728675___contig_42_fragment_2	123	153	31	140149	167260	27112
MP_BCQMy224___contig_1	MP_BCQMy224___contig_1_fragment_3	287	329	43	333403	365266	31864
MP_BCQMy224___contig_1	MP_BCQMy224___contig_1_fragment_5	447	506	60	499671	540178	40508
MP_BCQMy224___contig_1	MP_BCQMy224___contig_1_fragment_11	1117	1178	62	1254686	1292217	37532
MP_BCQMy224___contig_1	MP_BCQMy224___contig_1_fragment_12	1194	1217	24	1313216	1335018	21803
MP_BCQMy224___contig_1	MP_BCQMy224___contig_1_fragment_14	1432	1478	47	1593404	1628072	34669
MP_BCQMy302___contig_1	MP_BCQMy302___contig_1_fragment_3	287	329	43	333403	365266	31864
MP_BCQMy302___contig_1	MP_BCQMy302___contig_1_fragment_5	447	505	59	499671	539666	39996
MP_BCQMy302___contig_1	MP_BCQMy302___contig_1_fragment_7	674	728	55	739961	777425	37465
MP_BCQMy302___contig_1	MP_BCQMy302___contig_1_fragment_12	1171	1231	61	1292677	1330039	37363
MP_BCQMy302___contig_1	MP_BCQMy302___contig_1_fragment_13	1247	1270	24	1351038	1372840	21803
GCA_001047405___contig_4	GCA_001047405___contig_4_fragment_1	76	103	28	78275	99941	21667
MP_ONT63___contig_1	MP_ONT63___contig_1_fragment_1	53	109	57	64217	102836	38620
MP_ONT63___contig_1	MP_ONT63___contig_1_fragment_4	555	578	24	630031	651833	21803
MP_ONT63___contig_1	MP_ONT63___contig_1_fragment_12	1197	1256	60	1379018	1420091	41074
MP_ONT63___contig_1	MP_ONT63___contig_1_fragment_14	1377	1419	43	1556825	1588690	31866
GCA_001047455___contig_4	GCA_001047455___contig_4_fragment_1	12	81	70	13200	56691	43492
GCA_025728595___contig_34	GCA_025728595___contig_34_fragment_3	178	192	15	202759	211990	9232
GCA_025728635___contig_26	GCA_025728635___contig_26_fragment_1	1	19	19	3	17184	17182
MP_ONT141___contig_1	MP_ONT141___contig_1_fragment_1	53	105	53	64217	100654	36438
MP_ONT141___contig_1	MP_ONT141___contig_1_fragment_4	551	574	24	627851	649653	21803
MP_ONT141___contig_1	MP_ONT141___contig_1_fragment_12	1193	1251	59	1376838	1416790	39953
MP_ONT141___contig_1	MP_ONT141___contig_1_fragment_14	1372	1414	43	1553524	1585389	31866
MP_QEQMy133751___contig_1	MP_QEQMy133751___contig_1_fragment_7	566	592	27	602927	624593	21667
MP_QEQMy133751___contig_1	MP_QEQMy133751___contig_1_fragment_10	888	958	71	943270	986759	43490
MP_AB35___contig_1	MP_AB35___contig_1_fragment_3	288	330	43	333402	365265	31864
MP_AB35___contig_1	MP_AB35___contig_1_fragment_5	448	507	60	499670	539637	39968
MP_AB35___contig_1	MP_AB35___contig_1_fragment_7	676	730	55	739932	777396	37465
MP_AB35___contig_1	MP_AB35___contig_1_fragment_12	1171	1232	62	1291820	1329352	37533
MP_AB35___contig_1	MP_AB35___contig_1_fragment_13	1248	1271	24	1350351	1372153	21803
MP_BC9___contig_1	MP_BC9___contig_1_fragment_3	287	329	43	333403	365266	31864
MP_BC9___contig_1	MP_BC9___contig_1_fragment_5	447	506	60	499671	539906	40236
MP_BC9___contig_1	MP_BC9___contig_1_fragment_7	675	729	55	740201	777665	37465
MP_BC9___contig_1	MP_BC9___contig_1_fragment_12	1170	1229	60	1292088	1329450	37363
MP_BC9___contig_1	MP_BC9___contig_1_fragment_13	1245	1268	24	1350449	1372251	21803
GCA_001047395___contig_6	GCA_001047395___contig_6_fragment_1	76	103	28	78307	99973	21667
GCA_001047555___contig_7	GCA_001047555___contig_7_fragment_1	12	81	70	13206	56694	43489
GCA_025728615___contig_10	GCA_025728615___contig_10_fragment_1	13	20	8	22036	27404	5369
GCA_025728615___contig_51	GCA_025728615___contig_51_fragment_1	34	80	47	32534	67202	34669
GCA_025728615___contig_12	GCA_025728615___contig_12_fragment_3	213	231	19	257079	273984	16906
GCA_029024925___contig_1	GCA_029024925___contig_1_fragment_12	1098	1114	17	1120723	1135350	14628
GCA_029024925___contig_1	GCA_029024925___contig_1_fragment_22	1711	1768	58	1740640	1780767	40128
GCA_029024925___contig_1	GCA_029024925___contig_1_fragment_23	1864	1924	61	1892763	1931522	38760
GCA_029024925___contig_1	GCA_029024925___contig_1_fragment_32	2418	2475	58	2441444	2479764	38321
MP_ONT81___contig_1	MP_ONT81___contig_1_fragment_3	497	520	24	590454	612256	21803
MP_ONT81___contig_1	MP_ONT81___contig_1_fragment_4	534	587	54	630471	666583	36113
MP_ONT81___contig_1	MP_ONT81___contig_1_fragment_12	1192	1254	63	1372742	1416201	43460
MP_ONT81___contig_1	MP_ONT81___contig_1_fragment_14	1375	1417	43	1552935	1584800	31866
GCA_025728675___contig_3	GCA_025728675___contig_3_fragment_1	1	29	29	455	15881	15427
GCA_001047525___contig_7	GCA_001047525___contig_7_fragment_1	77	103	27	78275	99941	21667
GCA_001047395___contig_3	GCA_001047395___contig_3_fragment_6	801	870	70	869502	912992	43491
GCA_025728645___contig_11	GCA_025728645___contig_11_fragment_1	1	17	17	2	17408	17407
GCA_025728595___contig_1	GCA_025728595___contig_1_fragment_2	247	262	16	288723	303712	14990
MP_BCQMy223___contig_1	MP_BCQMy223___contig_1_fragment_3	287	329	43	333403	365266	31864
MP_BCQMy223___contig_1	MP_BCQMy223___contig_1_fragment_5	447	506	60	499671	540178	40508
MP_BCQMy223___contig_1	MP_BCQMy223___contig_1_fragment_11	1118	1179	62	1254685	1292216	37532
MP_BCQMy223___contig_1	MP_BCQMy223___contig_1_fragment_12	1195	1218	24	1313215	1335017	21803
MP_BCQMy223___contig_1	MP_BCQMy223___contig_1_fragment_14	1433	1479	47	1593414	1628082	34669
MP_ONT143___contig_1	MP_ONT143___contig_1_fragment_1	53	105	53	64217	100654	36438
MP_ONT143___contig_1	MP_ONT143___contig_1_fragment_4	551	574	24	627851	649653	21803
MP_ONT143___contig_1	MP_ONT143___contig_1_fragment_12	1193	1251	59	1376838	1416790	39953
MP_ONT143___contig_1	MP_ONT143___contig_1_fragment_14	1372	1414	43	1553524	1585389	31866
GCA_001047445___contig_7	GCA_001047445___contig_7_fragment_5	292	318	27	305564	327230	21667
GCA_001047445___contig_7	GCA_001047445___contig_7_fragment_6	333	391	59	345434	378007	32574
GCA_001047465___contig_10	GCA_001047465___contig_10_fragment_1	12	81	70	13206	56696	43491
GCA_004001225___contig_1	GCA_004001225___contig_1_fragment_6	789	859	71	871508	914997	43490
GCA_004001225___contig_1	GCA_004001225___contig_1_fragment_9	1156	1182	27	1233636	1255302	21667
GCA_001047445___contig_8	GCA_001047445___contig_8_fragment_3	157	190	34	167905	190695	22791
GCA_000270185___contig_1	GCA_000270185___contig_1_fragment_12	1369	1425	57	1470826	1503854	33029
GCA_000270185___contig_1	GCA_000270185___contig_1_fragment_13	1444	1469	26	1523613	1545277	21665
GCA_001047405___contig_3	GCA_001047405___contig_3_fragment_7	804	873	70	871806	915296	43491
GCA_025728615___contig_3	GCA_025728615___contig_3_fragment_1	1	49	49	2	33051	33050
MP_ONT231___contig_1	MP_ONT231___contig_1_fragment_1	53	110	58	64217	102766	38550
MP_ONT231___contig_1	MP_ONT231___contig_1_fragment_7	734	757	24	835168	856970	21803
MP_ONT231___contig_1	MP_ONT231___contig_1_fragment_9	1149	1189	41	1319359	1348758	29400
MP_ONT231___contig_1	MP_ONT231___contig_1_fragment_11	1310	1352	43	1485492	1517357	31866
