protein	scaffold	accession	name
GCA_025728675___contig_21_1	GCA_025728675___contig_21	VOG01075	REFSEQ hypothetical protein
GCA_025728675___contig_21_2	GCA_025728675___contig_21	PF06605.11	Prophage endopeptidase tail
GCA_025728675___contig_21_3	GCA_025728675___contig_21	None	hypothetical protein
GCA_025728675___contig_21_4	GCA_025728675___contig_21	None	hypothetical protein
GCA_025728675___contig_21_5	GCA_025728675___contig_21	VOG18935	REFSEQ hypothetical protein
MP_ONT81___contig_3_1	MP_ONT81___contig_3	K07467	rstA1; phage replication initiation protein
MP_ONT81___contig_3_2	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_3	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_4	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_5	MP_ONT81___contig_3	PF07564.11	Domain of Unknown Function (DUF1542)
MP_ONT81___contig_3_6	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_7	MP_ONT81___contig_3	PF00239.21	"Resolvase, N terminal domain"
MP_ONT81___contig_3_8	MP_ONT81___contig_3	VOG19011	REFSEQ hypothetical protein
MP_ONT81___contig_3_9	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_10	MP_ONT81___contig_3	PF03318.13	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
MP_ONT81___contig_3_11	MP_ONT81___contig_3	K01972	"E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]"
MP_ONT81___contig_3_12	MP_ONT81___contig_3	PF17363.2	Family of unknown function (DUF5388)
MP_ONT81___contig_3_13	MP_ONT81___contig_3	K03496	"parA, soj; chromosome partitioning protein"
MP_ONT81___contig_3_14	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_15	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_16	MP_ONT81___contig_3	None	hypothetical protein
MP_ONT81___contig_3_17	MP_ONT81___contig_3	VOG01473	REFSEQ FtsK/SpoIIIE protein
GCA_025728595___contig_11_1	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_2	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_3	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_4	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_5	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_6	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_7	GCA_025728595___contig_11	VOG01036	sp|C0SP91|YYCJ_BACSU Putative metallo-hydrolase YycJ
GCA_025728595___contig_11_8	GCA_025728595___contig_11	VOG12256	REFSEQ hypothetical protein
GCA_025728595___contig_11_9	GCA_025728595___contig_11	VOG24297	REFSEQ gp30
GCA_025728595___contig_11_10	GCA_025728595___contig_11	VOG00674	REFSEQ putative DNA polymerase
GCA_025728595___contig_11_11	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_12	GCA_025728595___contig_11	VOG24298	REFSEQ gp32
GCA_025728595___contig_11_13	GCA_025728595___contig_11	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_025728595___contig_11_14	GCA_025728595___contig_11	None	hypothetical protein
GCA_025728595___contig_11_15	GCA_025728595___contig_11	K07474	xtmA; phage terminase small subunit
GCA_025728595___contig_11_16	GCA_025728595___contig_11	K06909	xtmB; phage terminase large subunit
GCA_025728595___contig_11_17	GCA_025728595___contig_11	PF05133.14	"Phage portal protein, SPP1 Gp6-like"
GCA_025728595___contig_11_18	GCA_025728595___contig_11	VOG00686	sp|Q38442|GP7_BPSPP Minor head protein GP7
GCA_025728595___contig_11_19	GCA_025728595___contig_11	PF14265.6	Domain of unknown function (DUF4355)
GCA_025728595___contig_11_20	GCA_025728595___contig_11	VOG00633	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17
GCA_025728595___contig_11_21	GCA_025728595___contig_11	PF02368.18	Bacterial Ig-like domain (group 2)
GCA_025728595___contig_11_22	GCA_025728595___contig_11	VOG00283	sp|Q38584|HCP15_BPSPP Head completion protein gp15
GCA_025728595___contig_11_23	GCA_025728595___contig_11	VOG01134	REFSEQ hypothetical protein
GCA_025728595___contig_11_24	GCA_025728595___contig_11	VOG00973	REFSEQ hypothetical protein
GCA_025728595___contig_11_25	GCA_025728595___contig_11	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
GCA_025728595___contig_11_26	GCA_025728595___contig_11	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
GCA_025728595___contig_11_27	GCA_025728595___contig_11	PF12363.8	"Phage tail assembly chaperone protein, TAC"
GCA_025728595___contig_11_28	GCA_025728595___contig_11	VOG01394	REFSEQ hypothetical protein
GCA_025728595___contig_11_29	GCA_025728595___contig_11	VOG02632	REFSEQ gp14
GCA_025728595___contig_11_30	GCA_025728595___contig_11	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
GCA_025728675___contig_22_fragment_4_222	GCA_025728675___contig_22_fragment_4	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]
GCA_025728675___contig_22_fragment_4_223	GCA_025728675___contig_22_fragment_4	K09022	"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
GCA_025728675___contig_22_fragment_4_224	GCA_025728675___contig_22_fragment_4	None	hypothetical protein
GCA_025728675___contig_22_fragment_4_225	GCA_025728675___contig_22_fragment_4	VOG00459	REFSEQ putative CI-like transcriptional repressor
GCA_025728675___contig_22_fragment_4_226	GCA_025728675___contig_22_fragment_4	None	hypothetical protein
GCA_025728675___contig_22_fragment_4_227	GCA_025728675___contig_22_fragment_4	None	hypothetical protein
GCA_025728675___contig_22_fragment_4_228	GCA_025728675___contig_22_fragment_4	None	hypothetical protein
GCA_025728675___contig_22_fragment_4_229	GCA_025728675___contig_22_fragment_4	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_025728675___contig_22_fragment_4_230	GCA_025728675___contig_22_fragment_4	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
GCA_025728675___contig_22_fragment_4_231	GCA_025728675___contig_22_fragment_4	None	hypothetical protein
GCA_025728675___contig_22_fragment_4_232	GCA_025728675___contig_22_fragment_4	None	hypothetical protein
GCA_025728675___contig_22_fragment_4_233	GCA_025728675___contig_22_fragment_4	None	hypothetical protein
GCA_025728675___contig_22_fragment_4_234	GCA_025728675___contig_22_fragment_4	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
GCA_025728675___contig_22_fragment_4_235	GCA_025728675___contig_22_fragment_4	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
GCA_025728675___contig_22_fragment_4_236	GCA_025728675___contig_22_fragment_4	PF12363.8	"Phage tail assembly chaperone protein, TAC"
GCA_025728675___contig_22_fragment_4_237	GCA_025728675___contig_22_fragment_4	VOG01394	REFSEQ hypothetical protein
GCA_025728675___contig_22_fragment_4_238	GCA_025728675___contig_22_fragment_4	VOG02632	REFSEQ gp14
GCA_025728675___contig_22_fragment_4_239	GCA_025728675___contig_22_fragment_4	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
GCA_025728675___contig_22_fragment_4_240	GCA_025728675___contig_22_fragment_4	VOG00824	REFSEQ putative antireceptor
GCA_025728675___contig_22_fragment_4_241	GCA_025728675___contig_22_fragment_4	VOG13479	REFSEQ gp067
GCA_025728615___contig_1_fragment_4_286	GCA_025728615___contig_1_fragment_4	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
GCA_025728615___contig_1_fragment_4_287	GCA_025728615___contig_1_fragment_4	PF11195.8	Protein of unknown function (DUF2829)
GCA_025728615___contig_1_fragment_4_288	GCA_025728615___contig_1_fragment_4	PF01205.19	Uncharacterized protein family UPF0029
GCA_025728615___contig_1_fragment_4_289	GCA_025728615___contig_1_fragment_4	K02240	comFA; competence protein ComFA
GCA_025728615___contig_1_fragment_4_290	GCA_025728615___contig_1_fragment_4	K06400	spoIVCA; site-specific DNA recombinase
GCA_025728615___contig_1_fragment_4_291	GCA_025728615___contig_1_fragment_4	VOG01190	REFSEQ hypothetical protein
GCA_025728615___contig_1_fragment_4_292	GCA_025728615___contig_1_fragment_4	None	hypothetical protein
GCA_025728615___contig_1_fragment_4_293	GCA_025728615___contig_1_fragment_4	VOG20253	REFSEQ hypothetical protein
GCA_025728615___contig_1_fragment_4_294	GCA_025728615___contig_1_fragment_4	None	hypothetical protein
GCA_025728615___contig_1_fragment_4_295	GCA_025728615___contig_1_fragment_4	PF02498.17	"BRO family, N-terminal domain"
