scaffold	type	Quality
GCA_025728675___contig_21	lytic	low quality draft
MP_ONT81___contig_3	lytic	low quality draft
GCA_025728595___contig_11	lytic	medium quality draft
GCA_025728675___contig_22_fragment_4	lysogenic	low quality draft
GCA_025728615___contig_1_fragment_4	lysogenic	low quality draft
MP_QEQMy132961___contig_1_fragment_7	lysogenic	low quality draft
MP_QEQMy132961___contig_1_fragment_10	lysogenic	high quality draft
MP_BCQMy206___contig_1_fragment_3	lysogenic	high quality draft
MP_BCQMy206___contig_1_fragment_5	lysogenic	medium quality draft
MP_BCQMy206___contig_1_fragment_11	lysogenic	high quality draft
MP_BCQMy206___contig_1_fragment_12	lysogenic	low quality draft
MP_BCQMy206___contig_1_fragment_14	lysogenic	medium quality draft
MP_ONT63___contig_3	lytic	low quality draft
MP_ONT141___contig_3	lytic	low quality draft
MP_BCQMy206___contig_3	lytic	low quality draft
MP_QEQMy133751___contig_3	lytic	low quality draft
GCA_001047555___contig_9_fragment_1	lysogenic	low quality draft
GCA_001047465___contig_12_fragment_1	lysogenic	low quality draft
MP_LCAL0054___contig_1_fragment_3	lysogenic	high quality draft
MP_LCAL0054___contig_1_fragment_5	lysogenic	medium quality draft
MP_LCAL0054___contig_1_fragment_7	lysogenic	medium quality draft
MP_LCAL0054___contig_1_fragment_12	lysogenic	high quality draft
MP_LCAL0054___contig_1_fragment_13	lysogenic	low quality draft
GCA_000283975___contig_1_fragment_5	lysogenic	low quality draft
MP_ATCC35311___contig_1_fragment_7	lysogenic	low quality draft
MP_ATCC35311___contig_1_fragment_8	lysogenic	high quality draft
GCA_025728595___contig_43	lytic	low quality draft
GCA_025728595___contig_19	lytic	low quality draft
GCA_025728615___contig_9	lytic	high quality draft
GCA_025728675___contig_13	lytic	low quality draft
GCA_025728595___contig_14	lytic	low quality draft
GCA_001047435___contig_4_fragment_1	lysogenic	high quality draft
MP_BCQMy204___contig_1_fragment_3	lysogenic	high quality draft
MP_BCQMy204___contig_1_fragment_5	lysogenic	medium quality draft
MP_BCQMy204___contig_1_fragment_11	lysogenic	high quality draft
MP_BCQMy204___contig_1_fragment_12	lysogenic	low quality draft
MP_BCQMy204___contig_1_fragment_14	lysogenic	medium quality draft
MP_BCQMy225___contig_1_fragment_3	lysogenic	high quality draft
MP_BCQMy225___contig_1_fragment_5	lysogenic	medium quality draft
MP_BCQMy225___contig_1_fragment_11	lysogenic	high quality draft
MP_BCQMy225___contig_1_fragment_12	lysogenic	low quality draft
MP_BCQMy225___contig_1_fragment_14	lysogenic	high quality draft
GCA_001047525___contig_5_fragment_1	lysogenic	high quality draft
GCA_001047515___contig_15_fragment_2	lysogenic	low quality draft
GCA_001047515___contig_15_fragment_3	lysogenic	high quality draft
