scaffold	total genes	all KEGG	KEGG v-score	all Pfam	Pfam v-score	all VOG	VOG v-score	KEGG int-rep	KEGG zero	Pfam int-rep	Pfam zero	VOG redoxin	VOG rec-tran	VOG int	VOG RnR	VOG DNA	KEGG restriction check	KEGG toxin check	VOG special	annotation check	p_v check	p_k check	k_v check	k check	p check	v check	h check
GCA_025728675___contig_21	0.6989700043360189	0.0	0.0	0.6	0.6173333333333333	0.6	0.34666666666666673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.4
MP_ONT81___contig_3	1.2304489213782739	0.29411764705882354	0.04588235294117647	0.35294117647058826	0.040196078431372545	0.29411764705882354	0.19058823529411764	0.058823529411764705	0.0	0.058823529411764705	0.0	0.0	0.11764705882352941	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.17647058823529413	0.0	0.0	0.058823529411764705	0.058823529411764705	0.17647058823529413	0.058823529411764705	0.47058823529411764
GCA_025728595___contig_11	1.4771212547196624	0.16666666666666666	0.08333333333333331	0.36666666666666664	0.07454545454545454	0.7333333333333333	0.18774242424242427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.36666666666666664	0.1	0.26666666666666666	0.0	0.06666666666666667	0.0	0.0	0.3	0.26666666666666666
GCA_025728675___contig_22_fragment_4	1.3010299956639813	0.2	0.036625	0.45	0.05600000000000001	0.55	0.19286363636363638	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.1	0.25	0.1	0.0	0.0	0.0	0.2	0.35
GCA_025728615___contig_1_fragment_4	1.0	0.4	0.14299999999999996	0.6	0.11349999999999998	0.6	0.3698333333333333	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.0	0.0	0.1	0.1	0.1	0.2
MP_QEQMy132961___contig_1_fragment_7	1.4313637641589874	0.18518518518518517	0.0217037037037037	0.4074074074074074	0.040673400673400674	0.5185185185185185	0.12457671957671958	0.037037037037037035	0.07407407407407407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18518518518518517	0.07407407407407407	0.25925925925925924	0.07407407407407407	0.0	0.037037037037037035	0.0	0.18518518518518517	0.37037037037037035
MP_QEQMy132961___contig_1_fragment_10	1.8512583487190752	0.15492957746478872	0.03499359795134443	0.38028169014084506	0.03235263432446531	0.49295774647887325	0.06291750503018109	0.056338028169014086	0.0	0.028169014084507043	0.0	0.0	0.0	0.014084507042253521	0.0	0.028169014084507043	0.014084507042253521	0.0	0.1267605633802817	0.1267605633802817	0.23943661971830985	0.014084507042253521	0.014084507042253521	0.0	0.0	0.11267605633802817	0.49295774647887325
MP_BCQMy206___contig_1_fragment_3	1.6334684555795866	0.13953488372093023	0.0730232558139535	0.3488372093023256	0.06125581395348837	0.627906976744186	0.12423772609819124	0.023255813953488372	0.0	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.0	0.06976744186046512	0.023255813953488372	0.0	0.23255813953488372	0.11627906976744186	0.23255813953488372	0.0	0.023255813953488372	0.0	0.0	0.2558139534883721	0.37209302325581395
MP_BCQMy206___contig_1_fragment_5	1.7781512503836436	0.18333333333333332	0.038757575757575755	0.45	0.036975308641975305	0.55	0.07297979797979798	0.08333333333333333	0.016666666666666666	0.06666666666666667	0.0	0.0	0.0	0.016666666666666666	0.0	0.016666666666666666	0.016666666666666666	0.0	0.18333333333333332	0.15	0.2833333333333333	0.016666666666666666	0.016666666666666666	0.0	0.0	0.1	0.43333333333333335
MP_BCQMy206___contig_1_fragment_11	1.792391689498254	0.12903225806451613	0.04731854838709677	0.3387096774193548	0.04376344086021505	0.4838709677419355	0.0727258064516129	0.06451612903225806	0.0	0.03225806451612903	0.0	0.0	0.0	0.016129032258064516	0.0	0.03225806451612903	0.016129032258064516	0.0	0.16129032258064516	0.11290322580645161	0.22580645161290322	0.0	0.016129032258064516	0.0	0.0	0.12903225806451613	0.5161290322580645
