protein	id	evalue	score
GCA_001047595___contig_7_331	K03070	0.0	1227.1
GCA_025728595___contig_5_36	K03696	0.0	1109.9
MP_BCQMy206___contig_1_1743	K03696	0.0	1109.9
GCA_001047455___contig_3_2	K03696	0.0	1105.1
GCA_001047525___contig_3_308	K03696	0.0	1105.1
MP_QEQMy132961___contig_1_1758	K03696	0.0	1105.1
MP_BCQMy206___contig_1_1712	K00962	0.0	1030.4
GCA_025728595___contig_5_4	K00962	0.0	1030.4
MP_QEQMy132961___contig_1_1726	K00962	0.0	1031.7
GCA_001047525___contig_3_340	K00962	0.0	1031.7
GCA_001047455___contig_3_34	K00962	0.0	1031.7
MP_BCQMy206___contig_1_1424	K13797	0.0	1367.2
GCA_025728675___contig_22_14	K13797	0.0	1367.2
MP_QEQMy132961___contig_1_210	K17624	0.0	1210.2
GCA_001047525___contig_3_239	K17624	0.0	1210.2
MP_BCQMy206___contig_1_187	K17624	0.0	1236.5
MP_QEQMy132961___contig_1_315	K13797	0.0	1367.7
GCA_025728675___contig_22_15	K13797	0.0	1615.2
MP_QEQMy132961___contig_1_183	K01873	0.0	1358.5
GCA_001047525___contig_3_212	K01873	0.0	1358.5
MP_BCQMy206___contig_1_163	K01873	0.0	1359.1
GCA_001047595___contig_7_369	K01872	0.0	1044.8
MP_BCQMy206___contig_1_6	K02469	0.0	1341.2
MP_QEQMy132961___contig_1_281	K17686	0.0	1097.0
MP_BCQMy206___contig_1_1510	K17686	0.0	1103.4
GCA_003462485___contig_1_235	K03695	0.0	1281.5
GCA_025728615___contig_1_255	K03695	0.0	1265.2
GCA_003462485___contig_1_550	K06959	0.0	1062.1
GCA_001047435___contig_6_2	K06959	0.0	1059.3
MP_QEQMy132961___contig_1_718	K06959	0.0	1059.3
MP_QEQMy132961___contig_1_316	K13797	0.0	1616.5
MP_BCQMy206___contig_1_644	K03695	0.0	1265.2
GCA_001047455___contig_3_580	K03695	0.0	1262.0
GCA_001047595___contig_7_291	K03695	0.0	1262.0
GCA_025728615___contig_1_254	K01531	0.0	1274.1
MP_BCQMy206___contig_1_719	K01872	0.0	1048.8
GCA_001047455___contig_3_660	K01872	0.0	1047.8
MP_QEQMy132961___contig_1_1182	K03695	0.0	1262.0
MP_BCQMy206___contig_1_958	K03763	0.0	2147.3
MP_QEQMy132961___contig_1_1102	K01872	0.0	1047.8
MP_QEQMy132961___contig_1_779	K03763	0.0	2142.4
GCA_001047525___contig_3_36	K02469	0.0	1340.3
GCA_003462485___contig_1_273	K03596	0.0	1154.4
GCA_003462485___contig_1_407	K20038	0.0	1451.7
GCA_003462485___contig_1_46	K02337	0.0	1229.4
GCA_001047595___contig_7_106	K03701	0.0	1490.5
GCA_025728615___contig_1_91	K04072	0.0	1368.8
MP_BCQMy206___contig_1_607	K03737	0.0	1740.6
GCA_003462485___contig_1_317	K01955	0.0	1667.1
GCA_001047515___contig_12_24	K01955	0.0	1681.3
GCA_014202715___contig_6_67	K01955	0.0	1681.3
MP_QEQMy132961___contig_1_832	K01955	0.0	1681.3
MP_QEQMy132961___contig_1_1366	K03701	0.0	1495.4
GCA_001047455___contig_3_396	K03701	0.0	1495.4
MP_BCQMy206___contig_1_401	K03701	0.0	1498.1
MP_BCQMy206___contig_1_368	K19505	0.0	1196.1
GCA_025728615___contig_1_41	K19505	0.0	1196.1
GCA_003462485___contig_1_124	K19505	0.0	1229.6
GCA_025728615___contig_1_218	K03737	0.0	1740.6
GCA_025728615___contig_1_74	K03701	0.0	1498.1
GCA_003462485___contig_19_15	K03701	0.0	1520.4
MP_BCQMy206___contig_1_910	K01955	0.0	1687.3
MP_QEQMy132961___contig_1_1218	K03737	0.0	1742.4
GCA_001047595___contig_7_255	K03737	0.0	1742.4
GCA_001047455___contig_3_544	K03737	0.0	1742.4
GCA_025728635___contig_82_63	K03596	0.0	1152.2
GCA_025728695___contig_90_7	K03596	0.0	1152.2
MP_BCQMy206___contig_1_1185	K03596	0.0	1152.2
MP_QEQMy132961___contig_1_599	K03596	0.0	1145.6
GCA_025728615___contig_1_52	K03697	0.0	1207.5
MP_BCQMy206___contig_1_379	K03697	0.0	1207.5
GCA_001047455___contig_3_372	K03697	0.0	1206.1
GCA_001047595___contig_7_83	K03697	0.0	1206.1
MP_BCQMy206___contig_1_1423	K13797	0.0	1621.3
MP_QEQMy132961___contig_1_1390	K03697	0.0	1206.1
MP_QEQMy132961___contig_1_1347	K04072	0.0	1363.9
GCA_001047595___contig_7_124	K04072	0.0	1363.9
GCA_001047455___contig_3_415	K04072	0.0	1363.9
GCA_025728675___contig_49_62	K11540	0.0	1141.6
MP_BCQMy206___contig_1_418	K04072	0.0	1368.8
MP_BCQMy206___contig_1_1005	K06207	0.0	1016.7
MP_QEQMy132961___contig_1_732	K06207	0.0	1012.6
GCA_003462485___contig_19_35	K01006	0.0	1360.7
MP_BCQMy206___contig_1_1014	K18149	0.0	1096.3
GCA_003462485___contig_1_79	K01872	0.0	1064.1
GCA_001047595___contig_7_105	K03702	0.0	1218.5
GCA_001047525___contig_3_491	K22330	0.0	1248.5
MP_BCQMy206___contig_1_242	K03723	0.0	1361.0
GCA_025728595___contig_5_28	K03555	0.0	1113.0
MP_BCQMy206___contig_1_1735	K03555	0.0	1112.4
GCA_001047455___contig_3_10	K03555	0.0	1108.5
GCA_001047525___contig_3_316	K03555	0.0	1108.5
MP_QEQMy132961___contig_1_1750	K03555	0.0	1108.5
GCA_025728595___contig_13_114	K01621	0.0	1300.0
MP_BCQMy206___contig_1_1593	K22330	0.0	1252.6
MP_BCQMy206___contig_1_1596	K01621	0.0	1300.0
MP_BCQMy206___contig_1_776	K01621	0.0	1250.8
GCA_001047455___contig_3_718	K01621	0.0	1246.0
GCA_001047595___contig_7_426	K01621	0.0	1246.0
MP_QEQMy132961___contig_1_1044	K01621	0.0	1246.0
GCA_001047455___contig_3_186	K22330	0.0	1248.4
MP_QEQMy132961___contig_1_6	K02469	0.0	1340.3
MP_QEQMy132961___contig_1_5	K02470	0.0	1081.5
MP_QEQMy132961___contig_1_240	K02355	0.0	1093.3
MP_QEQMy132961___contig_1_1367	K03702	0.0	1218.5
GCA_001047525___contig_3_269	K02355	0.0	1093.3
GCA_025728595___contig_13_117	K22330	0.0	1252.6
GCA_001047455___contig_3_621	K03070	0.0	1229.1
MP_BCQMy206___contig_1_681	K03070	0.0	1229.6
