genome,strain,species,type,circular,typical_or_atypical,location,st_group,clonal_complex,oxytet_MIC,pmp1,pmp19,notes,sample_id2,AA004,AB563_AK401,AE171_AN896
GCA_003462485,OM08-11BH,Melissococcus_plutonius,nontype,N,NA,China:Shenzhen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_029024925,DSM20478,Enterococcus_faecalis,type,Y,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_000270185,ATCC35311,Melissococcus_plutonius,type,Y,Typical,UK,ST1,CC13,NA,Y,N,NA,GCA_000270185,N,Y,N
GCA_014202715,DSM29964,Melissococcus_plutonius,type,N,Typical,missing,ST1,CC13,NA,Y,N,NA,GCA_014202715,N,Y,N
MP_ATCC35311,MP_ATCC35311,Melissococcus_plutonius,type,Y,Typical,UK,ST1,CC13,NA,Y,N,NA,MP_ATCC35311,N,Y,N
GCA_000283975,DAT561,Melissococcus_plutonius,nontype,Y,Atypical,Japan,ST12,CC12,4,Y,N,NA,GCA_000283975,N,Y,N
GCA_003966875,DAT561,Melissococcus_plutonius,nontype,Y,Atypical,Japan,ST12,CC12,4,Y,Y,NA,GCA_003966875,N,Y,Y
GCA_025728595,2020OR4,Melissococcus_plutonius,nontype,N,Atypical,USA:OR,ST12,CC12,64,Y,Y,NA,GCA_025728595,Y,Y,Y
GCA_025728615,2020OR23,Melissococcus_plutonius,nontype,N,Atypical,USA:OR,ST12,CC12,64,Y,Y,NA,GCA_025728615,N,Y,Y
GCA_049529655,23_AN_1_497,Melissococcus_plutonius,nontype,N,Atypical,USA: California,ST12,CC12,NA,Y,Y,NA,GCA_049529655,N,Y,Y
GCA_049529675,23_AG_1_325,Melissococcus_plutonius,nontype,N,Atypical,USA: California,ST12,CC12,NA,Y,Y,NA,GCA_049529675,N,Y,Y
GCA_049529695,23_C_7_488,Melissococcus_plutonius,nontype,N,Atypical,USA: California,ST12,CC12,NA,Y,Y,NA,GCA_049529695,N,Y,Y
