genome_id,Annotated,Proteins,Reference,Size (Kb),component (0.3),component size (0.3),Realm Reference (0.3),Realm Predictions (0.3),network (0.3),component (0.4),component size (0.4),Realm Reference (0.4),Realm Predictions (0.4),network (0.4),component (0.5),component size (0.5),Realm Reference (0.5),Realm Predictions (0.5),network (0.5),component (0.6),component size (0.6),Realm Reference (0.6),Realm Predictions (0.6),network (0.6),component (0.7),component size (0.7),Realm Reference (0.7),Realm Predictions (0.7),network (0.7),realm (prediction),realm (support),order (component),family (component),genus (component),subfamily (component)
AB910602.1,,13,True,7.325,0,14.0,Monodnaviria,Monodnaviria,,0,11.0,Monodnaviria,Monodnaviria,,0,11.0,Monodnaviria,Monodnaviria,,0,9.0,Monodnaviria,Monodnaviria,,0,9.0,Monodnaviria,Monodnaviria,,Monodnaviria,reference,1.0,1.0,3,1
AF363675.1,,244,True,10.095,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,1,77.0,Duplodnaviria,Duplodnaviria,,1,76.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,42.0,215.0,18,63
AF452449.2,,6,True,6.834,2,13.0,Monodnaviria,Monodnaviria,,2,13.0,Monodnaviria,Monodnaviria,,2,7.0,Monodnaviria,Monodnaviria,,2,7.0,Monodnaviria,Monodnaviria,,2,7.0,Monodnaviria,Monodnaviria,,Monodnaviria,reference,1.0,1.0,2,1
AY176327.1,,233,True,127.395,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,3,298.0,Duplodnaviria,Duplodnaviria,,3,38.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,33.0,179.0,5,18
AY583235.1,,17,True,23.3,3,2.0,,No prediction,,3,1.0,,No prediction,,4,1.0,,No prediction,edgeless,4,1.0,,No prediction,edgeless,4,1.0,,No prediction,edgeless,No Realm,None,1.0,1.0,0,0
BK013337.1,,26,True,18.925,4,2.0,Varidnaviria,Varidnaviria,,4,2.0,Varidnaviria,Varidnaviria,,5,2.0,Varidnaviria,Varidnaviria,,5,2.0,Varidnaviria,Varidnaviria,,5,2.0,Varidnaviria,Varidnaviria,,Varidnaviria,reference,1,1,1,
BK013338.1,,30,True,17.189,4,2.0,Varidnaviria,Varidnaviria,,4,2.0,Varidnaviria,Varidnaviria,,5,2.0,Varidnaviria,Varidnaviria,,5,2.0,Varidnaviria,Varidnaviria,,5,2.0,Varidnaviria,Varidnaviria,,Varidnaviria,reference,1,1,1,
CP029253.1,,54,True,39.878,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,6,517.0,Duplodnaviria,Duplodnaviria,,6,200.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,21.0,133.0,7,76
DQ222851.1,,51,True,36.615,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,7,32.0,Duplodnaviria,Duplodnaviria,,7,27.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,20.0,101.0,7,56
DQ222855.1,,103,True,38.067,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,3,1012.0,Duplodnaviria,Duplodnaviria,,7,32.0,Duplodnaviria,Duplodnaviria,,7,27.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,20.0,101.0,7,56
FN582354.1,,63,True,23.229,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,8,136.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,305.0,33,48
