protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
GCA_025728675___contig_21_1	GCA_025728675___contig_21							PF05709.11	Phage tail protein	3.9e-18	61.6	3.63	VOG01075	REFSEQ hypothetical protein	2.8e-30	101.1	2.99
GCA_025728675___contig_21_2	GCA_025728675___contig_21							PF06605.11	Prophage endopeptidase tail	2.2e-43	144.5	4.15	VOG00452	REFSEQ hypothetical protein	5.4e-29	97.3	1.98
GCA_025728675___contig_21_3	GCA_025728675___contig_21																
GCA_025728675___contig_21_4	GCA_025728675___contig_21																
GCA_025728675___contig_21_5	GCA_025728675___contig_21							PF10651.9	BppU N-terminal domain	1.7999999999999998e-35	117.7	1.48	VOG18935	REFSEQ hypothetical protein	1.1e-35	119.1	0.23
MP_ONT81___contig_3_1	MP_ONT81___contig_3	K07467		rstA1; phage replication initiation protein	1.0999999999999999e-53	182.0	1.0	PF02486.19	Replication initiation factor	1.4999999999999998e-43	144.7	0.28	VOG10140	REFSEQ DNA replication initiation protein	5.9e-12	41.0	1.4
MP_ONT81___contig_3_2	MP_ONT81___contig_3																
MP_ONT81___contig_3_3	MP_ONT81___contig_3																
MP_ONT81___contig_3_4	MP_ONT81___contig_3																
MP_ONT81___contig_3_5	MP_ONT81___contig_3							PF07564.11	Domain of Unknown Function (DUF1542)	5.9999999999999974e-173	557.3	0.02					
MP_ONT81___contig_3_6	MP_ONT81___contig_3																
MP_ONT81___contig_3_7	MP_ONT81___contig_3	K21528		gin; serine recombinase [EC:3.1.22.- 6.5.1.-]	2.2999999999999998e-38	130.4	0.33	PF00239.21	"Resolvase, N terminal domain"	2e-40	134.2	3.05	VOG00520	sp|P03015|GIN_BPMU Serine recombinase gin	1.8999999999999998e-34	115.1	10.0
MP_ONT81___contig_3_8	MP_ONT81___contig_3												VOG19011	REFSEQ hypothetical protein	5.3e-23	77.3	0.1
MP_ONT81___contig_3_9	MP_ONT81___contig_3																
MP_ONT81___contig_3_10	MP_ONT81___contig_3							PF03318.13	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2	6.8e-27	90.5	0.01					
MP_ONT81___contig_3_11	MP_ONT81___contig_3	K01972		"E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]"	1.5e-11	42.4	1.0										
MP_ONT81___contig_3_12	MP_ONT81___contig_3							PF17363.2	Family of unknown function (DUF5388)	7.3e-17	57.3	0.01					
MP_ONT81___contig_3_13	MP_ONT81___contig_3	K03496		"parA, soj; chromosome partitioning protein"	1.1999999999999999e-41	142.4	0.85	PF13614.6	AAA domain	5.7e-40	132.9	0.73	VOG10286	sp|P07620|PARA_ECOLX Plasmid partition protein A	5.6e-39	130.0	2.49
MP_ONT81___contig_3_14	MP_ONT81___contig_3																
MP_ONT81___contig_3_15	MP_ONT81___contig_3																
MP_ONT81___contig_3_16	MP_ONT81___contig_3																
MP_ONT81___contig_3_17	MP_ONT81___contig_3	K03466		"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"	2.5000000000000002e-21	74.6	0.72						VOG01473	REFSEQ FtsK/SpoIIIE protein	4.2e-23	77.4	2.21
GCA_025728595___contig_11_1	GCA_025728595___contig_11																
