index,GenomeName,RefSeqID,Proteins,Reference,Size (Kb),realm (Reference),realm (prediction),phylum (Reference),phylum (prediction),class (Reference),class (prediction),order (Reference),order (prediction),family (Reference),family (prediction),subfamily (Reference),subfamily (prediction),genus (Reference),genus (prediction),network
3571,Sulfolobus filamentous virus 1,NC_048037.1,66,True,37.311,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus,Fully clustered
3660,Sulfolobales Beppu filamentous virus 2,NC_048128.1,68,True,38.091,,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus,Fully clustered
733,Sulfolobus islandicus filamentous virus,NC_003214.2,73,True,40.9,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
1055,Betalipothrixvirus pozzuoliense,NC_010152.1,66,True,39.577,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
1056,Betalipothrixvirus pezzuloense,NC_010153.1,57,True,36.895,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
1057,Betalipothrixvirus puteoliense,NC_010154.1,61,True,38.179,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
1058,Betalipothrixvirus acidiani,NC_010155.1,68,True,40.449,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
1071,Betalipothrixvirus uzonense,NC_010537.1,73,True,41.172,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
1042,Deltalipothrixvirus pozzuoliense,NC_009884.1,52,True,31.787,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus,Fully clustered
3659,Sulfolobales Beppu filamentous virus 3,NC_048127.1,54,True,31.324,,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus,Fully clustered
264,Sulfolobales Beppu rod-shaped virus 1,MK064565.1,60,True,34.025,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Japarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
403,Saccharolobus solfataricus rod-shaped virus 1,MN876841.1,37,True,26.097,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
404,Acidianus rod-shaped virus 3,MN876842.1,33,True,23.666,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
405,Metallosphaera rod-shaped virus 1,MN876843.1,27,True,20.269,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
759,Sulfolobus islandicus rod-shaped virus 2,NC_004086.1,54,True,35.45,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Icerudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
760,Sulfolobus islandicus rod-shaped virus 1,NC_004087.1,45,True,32.308,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Icerudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
1046,Acidianus rod-shaped virus 1,NC_009965.1,41,True,24.655,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Itarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2084,Stygiolobus rod-shaped virus,NC_025375.1,37,True,28.096,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Azorudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
2640,Acidianus rod-shaped virus 2,NC_029314.1,43,True,29.763,,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
