combined	MP_ATCC35311___MP_ATCC35311___Typical	GCA_003966875___DAT561___Atypical	GCA_025728595___2020OR4___Atypical	GCA_025728615___2020OR23___Atypical	GCA_049529675___23_AG_1_325___Atypical	GCA_049529995___22_K_0_S31_1___Atypical	GCA_049530615___22_A_4_06___Atypical	GCA_051488205___2020OR6___Atypical	GCA_001047445___90___Typical	GCA_025728635___2020AB19___Atypical	GCA_025728695___2020BC9___Atypical	GCA_049529775___22_X_1_04___Atypical	GCA_049530795___21_G_3_02___Atypical	GCA_051487725___2020UT9___Atypical	GCA_051487745___2020UT13___Atypical	GCA_051487805___2021SK14___Atypical	MP_BCQMy204___MP_BCQMy204___Atypical	MP_BCQMy205___MP_BCQMy205___Atypical	MP_BCQMy206___MP_BCQMy206___Atypical	MP_BCQMy223___MP_BCQMy223___Atypical	MP_BCQMy224___MP_BCQMy224___Atypical	MP_BCQMy225___MP_BCQMy225___Atypical	GCA_001047515___119___Typical	GCA_004001205___DAT585___Typical	GCA_000747585___S1___Typical	GCA_001047395___49.3___Typical	GCA_001047435___765-6B___Typical	GCA_001047465___764-5B___Typical	GCA_004001225___DAT606___Typical	GCA_009731445___DAT1033___Typical	GCA_001047595___82___Typical	GCA_025728675___2020SK1___Atypical	GCA_049529835___22_O_146___Typical	GCA_001047405___B5___Typical	GCA_001047455___21.1___Typical	GCA_001047525___H6___Typical	GCA_001047545___60___Typical	GCA_001047555___L9___Typical
group_1028___Dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)___K00078___KOFam_all_KEGG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1033___Mg2+ and Co2+ transporter CorA___COG0598___COG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1038___Bifunctional oligoribonuclease and PAP phosphatase NrnA___K06881___KOFam_all_KEGG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1063___Glucosyltransferase___K12999___KOFam_all_KEGG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1069___Hypothetical___NA___NA___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_109___glutamate--cysteine ligase/glutathione synthase___TIGR01435___TIGRFAM___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1106___Type I pantothenate kinase___K00867___KOFam_all_KEGG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_110___tail length tape measure protein___phrog_167___PHROG___NA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
group_1114___23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family___COG0826___COG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1183___Lactose/L-arabinose transport system permease protein___K10190___KOFam_all_KEGG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1192___16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)___COG0030___COG___NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
