protein	id	evalue	score
MP_BCQMy206___contig_1_fragment_4_356	VOG03262	3.4999999999999984e-275	910.3
GCA_001047595___contig_7_fragment_1_58	VOG03262	3.4999999999999984e-275	910.3
GCA_025728615___contig_1_fragment_2_29	VOG03262	3.4999999999999984e-275	910.3
MP_QEQMy132961___contig_1_fragment_14_1416	VOG03262	3.4999999999999984e-275	910.3
GCA_001047455___contig_3_fragment_3_346	VOG03262	3.4999999999999984e-275	910.3
MP_BCQMy206___contig_1_fragment_14_1458	VOG00554	1.899999999999999e-193	640.6
GCA_025728595___contig_11_12	VOG24298	2.6999999999999995e-161	533.9
GCA_003462485___contig_1_fragment_3_212	VOG00356	8.799999999999998e-157	519.4
GCA_025728695___contig_67_fragment_1_16	VOG00120	5.999999999999999e-141	466.7
MP_BCQMy206___contig_1_fragment_15_1531	VOG00120	5.999999999999999e-141	466.7
GCA_025728595___contig_13_fragment_1_179	VOG00120	5.999999999999999e-141	466.7
GCA_003462485___contig_1_fragment_2_163	VOG02447	3.9999999999999995e-133	440.5
GCA_025728675___contig_22_fragment_4_240	VOG00824	1.4999999999999995e-121	403.0
MP_BCQMy206___contig_1_fragment_12_1199	VOG00824	1.4999999999999995e-121	403.0
MP_BCQMy206___contig_1_fragment_14_1456	VOG00523	3.2999999999999994e-117	388.1
MP_BCQMy206___contig_1_fragment_14_1465	VOG00029	1.3999999999999997e-115	382.9
MP_QEQMy132961___contig_1_fragment_7_583	VOG00824	9.199999999999998e-113	374.0
MP_BCQMy206___contig_1_fragment_3_305	VOG00674	4.899999999999999e-109	361.1
GCA_025728615___contig_1_fragment_4_290	VOG00520	2.0999999999999995e-108	358.9
GCA_025728595___contig_11_10	VOG00674	4.799999999999999e-106	351.3
GCA_003462485___contig_1_fragment_3_213	VOG00356	9.999999999999998e-106	350.3
MP_QEQMy132961___contig_1_fragment_4_445	VOG00029	7.899999999999998e-102	337.5
GCA_003462485___contig_1_fragment_2_171	VOG01473	1.1999999999999998e-93	309.9
GCA_025728695___contig_67_fragment_1_17	VOG00398	3.999999999999999e-90	297.6
MP_BCQMy206___contig_1_fragment_15_1532	VOG00398	3.999999999999999e-90	297.6
GCA_025728595___contig_13_fragment_1_178	VOG00398	3.999999999999999e-90	297.6
MP_BCQMy206___contig_1_fragment_5_485	VOG13487	7.3999999999999995e-90	297.9
MP_QEQMy132961___contig_1_fragment_10_932	VOG13487	1.2999999999999998e-89	297.1
MP_BCQMy206___contig_1_fragment_11_1139	VOG13487	1.7999999999999997e-89	296.6
GCA_003462485___contig_1_fragment_2_157	VOG12267	2.3999999999999998e-89	295.1
MP_BCQMy206___contig_1_fragment_5_493	VOG04056	1.4999999999999997e-81	270.5
GCA_025728595___contig_11_16	VOG00381	8.099999999999998e-80	264.3
GCA_025728595___contig_11_17	VOG00213	8.799999999999999e-76	251.2
MP_BCQMy206___contig_1_fragment_5_482	VOG04497	8.099999999999997e-75	247.2
MP_BCQMy206___contig_1_fragment_11_1142	VOG04497	4.499999999999999e-74	244.7
MP_BCQMy206___contig_1_fragment_3_323	VOG00824	5.399999999999999e-73	242.5
MP_BCQMy206___contig_1_fragment_3_298	VOG00523	6.999999999999998e-73	241.8
MP_QEQMy132961___contig_1_fragment_10_889	VOG00041	7.499999999999999e-71	235.0
GCA_003462485___contig_1_fragment_2_141	VOG00041	9.999999999999998e-71	234.6
MP_BCQMy206___contig_1_fragment_11_1131	VOG04056	1.2999999999999998e-70	234.3
MP_QEQMy132961___contig_1_fragment_10_941	VOG21220	4.299999999999999e-68	226.0
MP_BCQMy206___contig_1_fragment_14_1481	VOG00041	1.4999999999999998e-67	224.2
MP_BCQMy206___contig_1_fragment_14_1452	VOG00381	2.2999999999999997e-67	223.3
MP_BCQMy206___contig_1_fragment_3_306	VOG00724	2.1999999999999998e-66	220.6
MP_QEQMy132961___contig_1_fragment_10_942	VOG04056	2.7e-66	219.9
MP_BCQMy206___contig_1_fragment_14_1451	VOG00213	8.199999999999998e-66	218.4
MP_BCQMy206___contig_1_fragment_3_287	VOG00041	1.7e-65	217.4
GCA_025728675___contig_22_fragment_2_138	VOG00084	7.599999999999999e-64	212.4
MP_QEQMy132961___contig_1_fragment_5_459	VOG00084	1.4999999999999996e-63	211.4
MP_BCQMy206___contig_1_fragment_5_450	VOG00041	2.9999999999999994e-61	203.4
GCA_003462485___contig_1_fragment_1_72	VOG00668	4.2e-60	199.8
GCA_025728595___contig_11_18	VOG00686	1.4999999999999997e-56	188.4
MP_BCQMy206___contig_1_fragment_12_1192	VOG02574	2.9999999999999994e-56	186.8
MP_QEQMy132961___contig_1_fragment_7_592	VOG02574	2.9999999999999994e-56	186.8
MP_QEQMy132961___contig_1_fragment_3_340	VOG05855	8.999999999999998e-56	184.9
GCA_025728615___contig_1_fragment_1_2	VOG02574	5.3e-55	182.8
MP_BCQMy206___contig_1_fragment_3_329	VOG02574	5.3e-55	182.8
GCA_025728615___contig_1_fragment_4_293	VOG20253	8e-55	181.3
GCA_025728675___contig_22_fragment_4_241	VOG13479	7.6e-54	178.6
MP_BCQMy206___contig_1_fragment_12_1198	VOG13479	7.6e-54	178.6
MP_QEQMy132961___contig_1_fragment_7_585	VOG13479	1.3e-53	177.8
MP_BCQMy206___contig_1_fragment_14_1468	VOG02922	2.8000000000000003e-53	176.4
MP_BCQMy206___contig_1_fragment_11_1115	VOG00041	3.8000000000000002e-53	176.8
